controller,duration_s,n_steps,mean_error_m,rmse_error_m,max_error_m,p95_error_m,final_error_m,mean_control_effort,total_control_effort,mean_normalized_effort
PID,40.6,407,7.761406182167315,12.22665778590576,31.298803329467773,27.55323390960693,31.298803329467773,3231.2527764049255,1315119.8799968048,0.3365888308755131
MPC,99.9,1000,7.278002532176673,8.466381413592874,14.852055549621582,14.078338909149169,14.852055549621582,0.0,0.0,0.0
PPO,99.9,1000,0.03030389515846032,0.05635177417673776,0.1988263428211212,0.16318048834800708,0.0096245622262358,30.026029689600204,30026.029689600204,0.0031277114260000217
