controller,n_repetitions,mean_steps,mean_sim_time_s,wall_time_mean_ms_mean,wall_time_mean_ms_std,wall_time_mean_ms_min,wall_time_mean_ms_max,wall_time_p95_ms_mean,wall_time_p95_ms_std,wall_time_p95_ms_min,wall_time_p95_ms_max,wall_time_max_ms_mean,wall_time_max_ms_std,wall_time_max_ms_min,wall_time_max_ms_max,wall_time_total_ms_mean,wall_time_total_ms_std,wall_time_total_ms_min,wall_time_total_ms_max,cpu_time_mean_ms_mean,cpu_time_mean_ms_std,cpu_time_mean_ms_min,cpu_time_mean_ms_max,cpu_time_p95_ms_mean,cpu_time_p95_ms_std,cpu_time_p95_ms_min,cpu_time_p95_ms_max,cpu_time_max_ms_mean,cpu_time_max_ms_std,cpu_time_max_ms_min,cpu_time_max_ms_max,cpu_time_total_ms_mean,cpu_time_total_ms_std,cpu_time_total_ms_min,cpu_time_total_ms_max,freq_mean_hz_mean,freq_mean_hz_std,freq_mean_hz_min,freq_mean_hz_max,freq_min_hz_mean,freq_min_hz_std,freq_min_hz_min,freq_min_hz_max,eq_rate_mean_hz_mean,eq_rate_mean_hz_std,eq_rate_mean_hz_min,eq_rate_mean_hz_max,eq_rate_p05_hz_mean,eq_rate_p05_hz_std,eq_rate_p05_hz_min,eq_rate_p05_hz_max,wall_util_mean_pct_mean,wall_util_mean_pct_std,wall_util_mean_pct_min,wall_util_mean_pct_max,wall_util_max_pct_mean,wall_util_max_pct_std,wall_util_max_pct_min,wall_util_max_pct_max,cpu_util_mean_pct_mean,cpu_util_mean_pct_std,cpu_util_mean_pct_min,cpu_util_mean_pct_max,cpu_util_max_pct_mean,cpu_util_max_pct_std,cpu_util_max_pct_min,cpu_util_max_pct_max,wall_deadline_miss_rate_pct_mean,wall_deadline_miss_rate_pct_std,wall_deadline_miss_rate_pct_min,wall_deadline_miss_rate_pct_max,cpu_deadline_miss_rate_pct_mean,cpu_deadline_miss_rate_pct_std,cpu_deadline_miss_rate_pct_min,cpu_deadline_miss_rate_pct_max,cpu_to_wall_ratio_mean,cpu_to_wall_ratio_std,cpu_to_wall_ratio_min,cpu_to_wall_ratio_max,rank_lowest_cpu_total,rank_lowest_wall_total,rank_fastest_response,rank_best_eq_rate,rank_lowest_wall_util
NMPC,10,1000.0,99.9,35.07914661322134,1.8542268089340015,31.87513115745965,38.5141173555166,45.17345714644757,3.876486439227747,40.900892342324305,53.35923123348036,147.0656042103655,98.89284525751302,57.2499170084483,353.3557500340976,35079.14661322134,1854.2268089340016,31875.131157459648,38514.1173555166,34.63813220000002,1.7375949159723574,31.769621999999835,38.149905,44.189079999997645,3.2471302202304484,40.37359999999805,50.26800000001111,90.19979999999143,21.50046743585442,57.147999999983696,139.5080000000064,34638.13220000003,1737.5949159723577,31769.621999999836,38149.905,29.50800378737648,1.4587702391302566,26.674395953650034,31.791339056808557,9.317581581551455,4.256560915051534,2.8300091335813935,17.46727422945311,29.508003787376516,1.4587702391302622,26.674395953650063,31.791339056808603,22.28916944721545,1.7776921324632005,18.740945643445837,24.44934456489029,35.07914661322134,1.854226808934004,31.87513115745964,38.514117355516596,147.06560421036323,98.89284525751263,57.2499170084483,353.3557500340976,34.63813220000002,1.7375949159723585,31.76962199999983,38.149905,90.19979999999057,21.500467435854524,57.147999999983696,139.5080000000064,0.24,0.3693237062523878,0.0,1.2,0.08,0.132664991614216,0.0,0.4,0.9876458701874483,0.011772477846255113,0.9562590518100161,0.9966899224056959,4,4,4,4,4
PID,10,1000.0,99.9,0.0299225831578951,0.0006117248165554255,0.02957837749272585,0.031710789829957994,0.032269725343212485,0.0016793691627952781,0.031211020541377362,0.037258397787809365,0.11077100643886903,0.119274926140841,0.03995897714048624,0.4172089975327,29.922583157895097,0.611724816555426,29.57837749272585,31.710789829957996,0.029888900000000447,0.00040574017548220307,0.029624999999999565,0.03103300000000148,0.032305000000006905,0.001611590828969587,0.03100000000011427,0.03700000000006476,0.08000000000002003,0.061869216901430324,0.03900000000012227,0.25,29.888900000000444,0.4057401754822028,29.624999999999567,31.03300000000148,33638.84355204195,312.56192536375795,32846.61204341221,33948.154802044955,16880.87909201143,8480.71479282973,2396.8802348793097,25025.665609113024,33638.84355204195,312.561925363756,32846.61204341222,33948.154802044955,31063.051401567587,1427.1228318627107,26839.612252271396,32039.967443263642,0.0299225831578951,0.0006117248165554257,0.02957837749272585,0.031710789829957994,0.11077100643886928,0.1192749261408432,0.03995897714048851,0.4172089975327089,0.02988890000000045,0.0004057401754822002,0.029624999999999575,0.031033000000001476,0.08000000000001921,0.06186921690143025,0.039000000000124484,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999009600026557,0.006802632093056439,0.978625892524563,1.0020465124255742,1,1,1,1,1
PPO,10,1000.0,99.9,0.3145105651404677,0.0075275463186869895,0.3057484972523034,0.329307786305386,0.339017122168972,0.02387273410303531,0.31679404492015,0.40206075063898,1.6334793064742805,3.21118590588814,0.3322920529171,11.221749999094701,314.51056514046775,7.527546318686984,305.7484972523034,329.307786305386,0.31301689999995164,0.005648948848239003,0.3057949999999469,0.3252189999999542,0.3358449999998935,0.020504370875548593,0.3169999999999,0.3910999999999899,0.81909999999985,0.970025509973888,0.3329999999994,3.657,313.0168999999516,5.648948848239002,305.7949999999469,325.2189999999542,3204.619167965344,47.025755440592135,3113.3425615740575,3271.5939119148584,1886.656829854924,843.0158152260784,89.11266068845491,3009.400890635297,3204.619167965856,47.0257554406075,3113.3425615745386,3271.593911915384,2962.9720092755806,189.05373355419624,2487.1864256620224,3156.6249960569808,0.3145105651404677,0.0075275463186870095,0.3057484972523034,0.3293077863053861,1.633479306474284,3.211185905888138,0.3322920529170953,11.221749999094701,0.3130168999999516,0.0056489488482390155,0.30579499999994686,0.32521899999995424,0.8190999999998653,0.970025509973887,0.3329999999993953,3.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995400147265516,0.00748333253022692,0.9755760156398775,1.0001520947709028,3,3,3,3,3
SMC,10,1000.0,99.9,0.05350224568974225,0.00024374601978437393,0.05322406499180943,0.05409618222620333,0.056201844417955726,0.0005775504740021399,0.05571014480665326,0.057669071247801185,0.08002930553628815,0.019953958064749137,0.06420898716896772,0.1245000166818,53.50224568974225,0.24374601978437363,53.22406499180943,54.09618222620333,0.053542399999999865,0.00023637901768052737,0.05325599999999664,0.054099999999998344,0.056599999999984996,0.0006633249580695675,0.05599999999983396,0.058000000000002494,0.07979999999997227,0.019681463360192695,0.06499999999998174,0.1229999999999,53.54239999999987,0.23637901768052805,53.25599999999664,54.099999999998346,18713.93059102863,76.89003960248432,18532.45510012422,18806.66526409969,13097.192021592042,2429.728630848696,8032.127437825344,15574.143809004065,18713.93059102863,76.89003960248367,18532.455100124225,18806.66526409969,17794.871336016127,180.1606463799878,17340.31784406873,17950.052550279677,0.053502245689742246,0.00024374601978437442,0.05322406499180943,0.054096182226203327,0.08002930553628843,0.019953958064750553,0.0642089871689691,0.1245000166818,0.053542399999999865,0.00023637901768052596,0.05325599999999664,0.05409999999999834,0.07979999999997325,0.01968146336019376,0.06499999999998543,0.1229999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0007512258279738,0.0004123256664813656,1.0000705738120124,1.0017249956514314,2,2,2,2,2
