n_steps,sim_time_s,wall_time_mean_ms,wall_time_std_ms,wall_time_max_ms,wall_time_p95_ms,wall_time_total_ms,cpu_time_mean_ms,cpu_time_std_ms,cpu_time_max_ms,cpu_time_p95_ms,cpu_time_total_ms,cpu_to_wall_ratio,freq_mean_hz,freq_std_hz,freq_min_hz,eq_rate_mean_hz,eq_rate_min_hz,eq_rate_p05_hz,wall_util_mean_pct,wall_util_max_pct,cpu_util_mean_pct,cpu_util_max_pct,wall_deadline_miss_count,cpu_deadline_miss_count,wall_deadline_miss_rate_pct,cpu_deadline_miss_rate_pct,controller,repetition_id
1000,99.9,0.029693193326238446,0.007124581726669505,0.25174999609579995,0.031627085991203785,29.693193326238447,0.029722999999998747,0.007091281336966542,0.25,0.032000000000032,29.72299999999875,1.0010038217659116,33948.154802044955,1498.5863397286887,3972.194699137486,33948.154802044955,3972.1946991389977,31618.470317692318,0.02969319332623845,0.25174999609579995,0.029722999999998754,0.25,0,0,0.0,0.0,PID,0
1000,99.9,0.031710789829957994,0.01587029868458656,0.4172089975327,0.037258397787809365,31.710789829957996,0.03103300000000148,0.006406083905161611,0.1109999999999,0.03700000000006476,31.03300000000148,0.978625892524563,32846.61204341221,3685.5438435735305,2396.8802348793097,32846.61204341222,2396.880234879455,26839.612252271396,0.031710789829957994,0.4172089975327089,0.031033000000001476,0.11099999999990236,0,0,0.0,0.0,PID,1
1000,99.9,0.0298618872766383,0.001323470433303843,0.04345900379121304,0.03196102334186435,29.8618872766383,0.029923000000001032,0.0015643116697133203,0.04500000000007276,0.032000000000032,29.923000000001032,1.0020465124255742,33541.578048282194,1226.1332861594644,23010.19150839785,33541.578048282194,23010.191508397842,31288.112001201163,0.0298618872766383,0.04345900379121551,0.029923000000001032,0.04500000000007372,0,0,0.0,0.0,PID,2
1000,99.9,0.029733708128333092,0.0012591256977442728,0.041624996811151505,0.03187918628100305,29.73370812833309,0.02977200000000002,0.0014035725845157594,0.042000000000097515,0.032000000000032,29.77200000000002,1.001287826984164,33682.53299079288,1200.3834626217945,24024.02586447997,33682.532990792875,24024.02586447997,31368.439332156322,0.029733708128333092,0.04162499681115387,0.02977200000000002,0.042000000000093934,0,0,0.0,0.0,PID,3
1000,99.9,0.029629624041263014,0.0010371743845204386,0.04058302147313952,0.0317100842949003,29.629624041263014,0.029667000000003885,0.0012182409449718204,0.04099999999995774,0.03105000000009901,29.667000000003885,1.001261438845421,33785.36253189088,1013.3490535749305,24640.846435297204,33785.36253189088,24640.84643529721,31535.711921573013,0.02962962404126301,0.04058302147313894,0.029667000000003888,0.040999999999957154,0,0,0.0,0.0,PID,4
1000,99.9,0.029721494938712567,0.0026641483796865702,0.09958300506696104,0.03166910319123417,29.721494938712567,0.029744999999995473,0.0027217595411743335,0.0989999999998492,0.032000000000032,29.74499999999547,1.0007908438431974,33765.81524241888,1501.2069012226445,10041.874106205025,33765.81524241888,10041.874106205027,31576.520411039342,0.02972149493871256,0.09958300506695254,0.029744999999995466,0.09899999999984074,0,0,0.0,0.0,PID,5
1000,99.9,0.02960288355825469,0.0011152468476303785,0.03995897714048624,0.03171107673551887,29.60288355825469,0.029633999999999272,0.0012751643031379263,0.03900000000012227,0.03199999999982106,29.633999999999272,1.0010511287416766,33821.24290354166,1085.199059453891,25025.665609113024,33821.24290354166,25025.665609113024,31534.72483266402,0.02960288355825469,0.03995897714048851,0.02963399999999928,0.039000000000124484,0,0,0.0,0.0,PID,6
1000,99.9,0.02957837749272585,0.0010734630085890969,0.04020804772153497,0.031211020541377362,29.57837749272585,0.029624999999999565,0.0012362746458577354,0.04000000000004,0.03100000000011427,29.624999999999567,1.0015762361300982,33846.03028179551,1038.5416749364172,24870.642984847324,33846.03028179551,24870.642984847324,32039.967443263642,0.02957837749272585,0.04020804772153154,0.029624999999999575,0.040000000000040135,0,0,0.0,0.0,PID,7
1000,99.9,0.02963011834071949,0.0018570288153199731,0.07758400170132518,0.03154313599225134,29.63011834071949,0.02967100000000333,0.001942359132604337,0.07700000000010476,0.03199999999980996,29.671000000003332,1.0013797332435106,33820.99093259547,1237.0136373436487,12889.255233955268,33820.99093259547,12889.255233955268,31702.621086008196,0.02963011834071949,0.07758400170132408,0.02967100000000334,0.07700000000010367,0,0,0.0,0.0,PID,8
1000,99.9,0.030063754646107554,0.0015818122444912588,0.055750017054378986,0.032127139274962246,30.063754646107554,0.030096000000001677,0.001645230682913895,0.056000000000056005,0.032000000000032,30.096000000001677,1.0010725657614525,33330.11574364486,1305.999504845645,17937.214243801798,33330.11574364486,17937.214243801798,31126.334417806484,0.03006375464610755,0.05575001705437894,0.030096000000001677,0.056000000000055956,0,0,0.0,0.0,PID,9
1000,99.9,0.05409618222620333,0.00338002312467886,0.1245000166818,0.057669071247801185,54.09618222620333,0.054099999999998344,0.00339882332579682,0.1229999999999,0.058000000000002494,54.099999999998346,1.0000705738120124,18532.45510012422,785.8063967807998,8032.127437825344,18532.455100124225,8032.127437828566,17340.31784406873,0.054096182226203327,0.1245000166818,0.05409999999999834,0.1229999999999,0,0,0.0,0.0,SMC,0
1000,99.9,0.053318947087973356,0.0016715226672326976,0.06849999772384763,0.055836059618741274,53.318947087973356,0.0533549999999996,0.0017409695574575827,0.0660000000000105,0.055999999999950534,53.3549999999996,1.0006761744932202,18771.329366877875,520.0982703612698,14598.540631073034,18771.329366877875,14598.540631073034,17909.573712675432,0.05331894708797335,0.06849999772384666,0.05335499999999959,0.06600000000000955,0,0,0.0,0.0,SMC,1
1000,99.9,0.05372934741899371,0.0019844553092957197,0.07324997568503022,0.05646109348163009,53.72934741899371,0.05376799999999837,0.002089539662222894,0.07299999999998974,0.05699999999997374,53.76799999999837,1.000719394201892,18633.721450008168,595.3420067427026,13651.881664779386,18633.721450008168,13651.881664779386,17711.311689877068,0.05372934741899371,0.07324997568503439,0.053767999999998366,0.07299999999999389,0,0,0.0,0.0,SMC,2
1000,99.9,0.053619216894730926,0.002043990772484437,0.071333022788167,0.05626456986647098,53.619216894730926,0.053671999999997284,0.0021058053091398345,0.07100000000015427,0.05699999999997374,53.67199999999728,1.0009844064931046,18673.062114163375,606.2514540896816,14018.752618540146,18673.06211416337,14018.752618540146,17773.196647861867,0.053619216894730926,0.07133302278816599,0.05367199999999727,0.07100000000015831,0,0,0.0,0.0,SMC,3
1000,99.9,0.053419228876009583,0.0016396069106036975,0.06962497718632221,0.05571224610321223,53.41922887600958,0.05346099999999954,0.001761385534169743,0.0700000000000145,0.056000000000056005,53.46099999999954,1.0007819492132113,18735.172692313354,500.8151802680014,14362.661797703962,18735.172692313354,14362.661797703962,17949.37697929809,0.05341922887600957,0.06962497718631627,0.05346099999999953,0.07000000000000853,0,0,0.0,0.0,SMC,4
1000,99.9,0.05337334529031068,0.0015825979566586712,0.06420898716896772,0.05583401070907712,53.37334529031068,0.053410999999999216,0.0017193251583066827,0.06499999999998174,0.056000000000056005,53.41099999999921,1.0007054965260977,18750.70926568023,498.6278598622726,15574.143809004065,18750.70926568023,15574.143809004063,17910.230472435444,0.05337334529031068,0.0642089871689691,0.0534109999999992,0.06499999999998543,0,0,0.0,0.0,SMC,5
1000,99.9,0.05352298024808981,0.002683699727675378,0.11391699081279999,0.05663124320562928,53.52298024808981,0.05357199999999924,0.0027894114074475747,0.1139999999999,0.05699999999997374,53.571999999999235,1.0009158636473943,18715.171402409673,659.9259795306162,8778.321766264928,18715.17140240968,8778.321766270159,17658.1013280354,0.05352298024808981,0.11391699081280647,0.053571999999999245,0.11399999999990648,0,0,0.0,0.0,SMC,6
1000,99.9,0.053374928480479866,0.0019038456911330858,0.07145904237404466,0.0557919847778976,53.374928480479866,0.05346700000000415,0.0020097042070911742,0.07099999999993223,0.056000000000056005,53.46700000000415,1.0017249956514314,18755.78206404467,573.5760533194438,13994.030241345914,18755.78206404467,13994.030241345914,17923.72155213516,0.05337492848047985,0.07145904237403856,0.05346700000000415,0.07099999999992618,0,0,0.0,0.0,SMC,7
