time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,yaw_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,controller_wall_time_s,controller_cpu_time_s,controller_frequency_hz,controller_prepare_time_s,controller_solver_time_s,controller_post_time_s,controller_success,controller,controller_wall_time_ms,controller_cpu_time_ms,dt_s,dt_ms,equivalent_rate_from_wall_hz,wall_utilization_pct,cpu_utilization_pct,wall_deadline_miss,cpu_deadline_miss
15.6,0.4425022,-0.71870863,-0.5250867,0.020817852,-0.032497063,-2.633961,0.07657407,-0.33681923,-0.00079854176,-0.0069209756,-0.02858789,-0.40680367,0.7184648,-0.49973777,-0.5,-3.0950692,0.3531754910945892,0.378057062625885,0.4611082077026367,-2.365862616036785,-28.309244,14.168692,-14.1671095,0.026555782,-1.5567275,-7.1637187,2.7332978788763285e-05,2.700000000005476e-05,36585.84041381925,1.0840012691915035e-06,2.158398274332285e-05,4.208995960652828e-06,1,SMC,0.027332978788763285,0.02700000000005476,0.09999999999999964,99.99999999999964,36585.84041381925,0.027332978788763382,0.02700000000005486,False,False
15.7,0.42520463,-0.6864775,-0.5255161,0.021454656,-0.03354572,-2.67668,-0.005652059,-0.36575902,0.0035018676,-0.0075119766,-0.019372154,-0.4266549,0.7079509,-0.49999857,-0.5,-3.13821,0.3396629095077514,0.3789293467998504,0.4615299701690674,-2.357297031530549,-23.402973,9.266711,-9.260838,-4.8754244,-2.102488,-6.8558064,2.704199869185686e-05,2.8000000000028e-05,36979.51513846975,1.04197533801198e-06,2.1625019144266844e-05,3.875000402331352e-06,1,SMC,0.02704199869185686,0.028000000000028,0.09999999999999964,99.99999999999964,36979.51513846975,0.027041998691856958,0.028000000000028096,False,False
15.8,0.41446215,-0.6479307,-0.5261331,0.021450026,-0.03379473,-2.715539,-0.07696325,-0.39270473,0.00483502,-0.013079379,-0.010821251,-0.38822815,0.6972777,-0.4998094,-0.5,3.1030967,0.3203240633010864,0.398049920797348,0.4645493666278287,-2.352231594708313,-31.402973,17.26671,-17.260838,3.1245754,-3.2522259,-7.5216193,2.7332978788763285e-05,2.6999999999999247e-05,36585.84041381925,1.04197533801198e-06,2.1792016923427585e-05,3.957946319133043e-06,1,SMC,0.027332978788763285,0.026999999999999247,0.10000000000000142,100.00000000000142,36585.84041381925,0.027332978788762896,0.02699999999999886,False,False
15.9,0.4098859,-0.6040564,-0.52705866,0.022064298,-0.03304982,-2.760348,-0.13988556,-0.41843432,0.0044440133,-0.008997451,-0.0021579312,-0.44789025,0.6864477,-0.49917048,-0.5,3.062576,0.297017902135849,0.4282040596008301,0.460261170064108,-2.345047840430576,-23.402973,9.266711,-9.260838,-4.8754244,-2.858978,-6.8338847,2.716702874749899e-05,2.6000000000026e-05,36809.325351491025,1.0420335456728935e-06,2.1625019144266844e-05,3.917026333510876e-06,1,SMC,0.02716702874749899,0.026000000000026,0.09999999999999964,99.99999999999964,36809.325351491025,0.027167028747499086,0.02600000000002609,False,False
16.0,0.41110846,-0.5559469,-0.52832204,0.02169721,-0.03162793,-2.8001294,-0.1906654,-0.44203752,0.0034162458,-0.016816175,0.005443444,-0.39781418,0.6754632,-0.4980823,-0.5,3.0234852,0.272091656923294,0.4621617197990417,0.4595707098590298,-2.3420638617634086,-30.575804,16.465609,-16.433668,2.323472,-3.5687287,-8.360791,2.475001383572817e-05,2.599999999997049e-05,40404.01781741384,9.589712135493755e-07,1.974997576326132e-05,3.6249984987080097e-06,1,SMC,0.02475001383572817,0.02599999999997049,0.09999999999999964,99.99999999999964,40404.01781741384,0.024750013835728255,0.025999999999970585,False,False
16.1,0.4176811,-0.50438464,-0.52956533,0.021775665,-0.029362815,-2.8446007,-0.234872,-0.46384302,0.005056352,-0.01327844,0.013002404,-0.44487616,0.6643267,-0.4965459,-0.5,2.985875,0.2485349476337433,0.4968730807304382,0.452709499989645,-2.3383157644679695,-22.575804,8.465608,-8.433668,-5.676528,-2.8949492,-8.304773,2.7250032871961594e-05,2.6999999999999247e-05,36697.20343819956,1.0830117389559746e-06,2.174999099224806e-05,3.958994057029486e-06,1,SMC,0.027250032871961594,0.026999999999999247,0.10000000000000142,100.00000000000142,36697.20343819956,0.027250032871961205,0.02699999999999886,False,False
16.2,0.429203,-0.4503443,-0.530511,0.020881124,-0.026584582,-2.8834429,-0.2684832,-0.4829467,0.008942301,-0.020348916,0.019321911,-0.38876703,0.65304077,-0.49456263,-0.5,2.9497757,0.2301945388317108,0.5283014178276062,0.4499667326556607,-2.340870929205733,-30.413433,16.33451,-16.271297,2.192376,-3.6397705,-9.371625,2.7041009161621332e-05,2.6999999999999247e-05,36980.86835528596,1.0829535312950611e-06,2.1540967281907797e-05,3.917026333510876e-06,1,SMC,0.027041009161621332,0.026999999999999247,0.09999999999999787,99.99999999999787,36980.86835528596,0.027041009161621908,0.026999999999999823,False,False
16.3,0.44519016,-0.3944971,-0.53099614,0.0204158,-0.023122143,-2.9273038,-0.29717168,-0.4989799,0.0134707615,-0.016312161,0.025462074,-0.4390833,0.6416079,-0.4921343,-0.5,2.915201,0.2215258628129959,0.556308388710022,0.440680805836813,-2.344939664425553,-22.413433,8.334512,-8.2712965,-5.807624,-3.7432103,-8.599084,2.7165981009602547e-05,2.8000000000028e-05,36810.745014013046,1.1249794624745846e-06,2.158299321308732e-05,3.917026333510876e-06,1,SMC,0.027165981009602547,0.028000000000028,0.10000000000000142,100.00000000000142,36810.745014013046,0.02716598100960216,0.0280000000000276,False,False
16.400000000000002,0.46517712,-0.3377659,-0.53127086,0.019006344,-0.019302897,-2.9657366,-0.31591743,-0.5116338,0.01500623,-0.022980249,0.030340767,-0.38492486,0.63003063,-0.48926306,-0.5,2.8821478,0.2260662168264389,0.5782397389411926,0.4353011290179653,-2.355984883481014,-27.549635,13.493846,-13.407499,-0.6482899,-4.7615314,-9.043937,2.7125002816319466e-05,2.6999999999999247e-05,36866.35561926507,1.0830117389559746e-06,2.1625019144266844e-05,3.916968125849962e-06,1,SMC,0.027125002816319466,0.026999999999999247,0.10000000000000142,100.00000000000142,36866.35561926507,0.02712500281631908,0.02699999999999886,False,False
16.5,0.48866346,-0.28074554,-0.5314732,0.01769925,-0.01503,-3.0066154,-0.3309764,-0.5201429,0.014253207,-0.02096123,0.034953613,-0.40944955,0.61831164,-0.48595154,-0.5,2.850601,0.2447625696659088,0.5950914621353149,0.425968948994772,-2.3694416770664,-19.549635,5.493846,-5.4074993,-8.64829,-4.861967,-8.762048,2.7082976885139946e-05,2.8000000000028e-05,36923.5628801458,1.0830117389559746e-06,2.158299321308732e-05,3.916036803275347e-06,1,SMC,0.027082976885139946,0.028000000000028,0.09999999999999787,99.99999999999787,36923.5628801458,0.027082976885140525,0.028000000000028596,False,False
