controller,repetition_id,n_steps,rmse_error_m,mean_error_m,p95_error_m,max_error_m,mean_wall_time_ms,p95_wall_time_ms,total_wall_time_ms,mean_cpu_time_ms,p95_cpu_time_ms,total_cpu_time_ms,rmse_x_cpu_ms,rmse_x_wall_ms,performance_per_cpu_cost,performance_per_wall_cost
PID,0,1000,0.7340690253521319,0.7206241771336644,0.897401961684227,0.995883584022522,0.029693193326238446,0.031627085991203785,29.693193326238447,0.02972299999999875,0.032000000000032,29.722999999998752,0.0218187336405405,0.021796853484584284,45.83217415248797,45.878181486481296
PID,1,1000,0.7335206633433946,0.7200791745968163,0.8969317495822906,0.9973025321960448,0.031710789829957994,0.037258397787809365,31.710789829957996,0.031033000000001476,0.03700000000006476,31.033000000001476,0.022763346745536647,0.02326051959121376,43.93027137787093,42.9913010360152
PID,2,1000,0.73370409110464,0.7202309195660055,0.8978876739740371,1.0040117502212524,0.0298618872766383,0.03196102334186435,29.8618872766383,0.029923000000001032,0.032000000000032,29.923000000001032,0.021954627518124898,0.021909788862975114,45.54848398928373,45.64169952773386
PID,3,1000,0.7336745214816627,0.7203817158620804,0.8954223453998565,1.000499248504639,0.029733708128333092,0.03187918628100305,29.73370812833309,0.02977200000000002,0.032000000000032,29.77200000000002,0.021842957853552076,0.021814864082930204,45.781345489222794,45.84030394131516
PID,4,1000,0.7337470778314098,0.7203092097789049,0.8969381511211395,0.9983729720115662,0.029629624041263014,0.0317100842949003,29.629624041263014,0.029667000000003885,0.031050000000099012,29.667000000003885,0.021768074558027286,0.021740650057520024,45.9388356712163,45.99678470304539
PID,5,1000,0.7315173025727022,0.7182626831680536,0.8927568018436431,0.9970516562461852,0.029721494938712567,0.031669103191234164,29.721494938712567,0.02974499999999547,0.032000000000032,29.74499999999547,0.02175898216502171,0.021741787805995238,45.95803206307753,45.99437768978008
PID,6,1000,0.7314778543457571,0.718071361258626,0.8975382208824157,0.992958128452301,0.02960288355825469,0.03171107673551887,29.60288355825469,0.029633999999999272,0.03199999999982106,29.633999999999272,0.021676614735681634,0.02165385374763943,46.13266472619044,46.18115609601426
PID,7,1000,0.7320076491253393,0.7187315379735082,0.8929319381713867,0.9930111169815063,0.02957837749272585,0.031211020541377366,29.57837749272585,0.02962499999999957,0.03100000000011427,29.624999999999567,0.021685726605337862,0.0216515985733921,46.11328078598269,46.18596620523492
PID,8,1000,0.7318177276212489,0.7185170778948814,0.8941645979881286,0.9932467937469482,0.02963011834071949,0.03154313599225134,29.63011834071949,0.029671000000003334,0.03199999999980996,29.671000000003332,0.021713763796252516,0.02168384587325403,46.05373851273936,46.11728038675332
PID,9,1000,0.7330716630906233,0.7196853524148464,0.8962019860744476,0.9950231313705444,0.030063754646107554,0.03212713927496224,30.063754646107554,0.030096000000001677,0.032000000000032,30.096000000001677,0.022062524772376628,0.02203888661717052,45.325728143863635,45.374342967983644
SMC,0,1000,0.2752112996883383,0.20741303879208864,0.5488171577453611,0.7126895785331726,0.05409618222620333,0.057669071247801185,54.09618222620333,0.054099999999998344,0.058000000000002494,54.099999999998346,0.014888931313138646,0.014887880618650606,67.16398772808873,67.16872774673264
SMC,1,1000,0.2700230400091615,0.19671410788036883,0.6057668179273605,0.7798224091529846,0.053318947087973356,0.055836059618741274,53.318947087973356,0.0533549999999996,0.055999999999950534,53.3549999999996,0.014407079299688702,0.014397344182782195,69.41032107886068,69.45725456754042
SMC,2,1000,0.26024324054461007,0.19491194992884994,0.580074018239975,0.7092177867889404,0.05372934741899371,0.05646109348163009,53.72934741899371,0.05376799999999837,0.05699999999997374,53.76799999999837,0.01399275855760217,0.013982699484666104,71.4655366833802,71.5169485761053
SMC,3,1000,0.25864373502302224,0.19631397264637054,0.5615130245685577,0.7246452569961548,0.053619216894730926,0.05626456986647098,53.619216894730926,0.05367199999999728,0.05699999999997374,53.671999999997276,0.013881926546154945,0.013868274526662743,72.03611088671138,72.10702370200626
SMC,4,1000,0.2591768286636998,0.19840517111495137,0.5491422235965728,0.6589380502700806,0.053419228876009583,0.05571224610321224,53.41922887600958,0.05346099999999954,0.056000000000056005,53.46099999999954,0.013855852437189934,0.0138450263297445,72.17166930241984,72.22810388244702
SMC,5,1000,0.2703229729311942,0.20640297712385655,0.559646737575531,0.7470510601997375,0.05337334529031068,0.05583401070907712,53.37334529031068,0.05341099999999921,0.056000000000056005,53.410999999999206,0.0144382203072278,0.014428041374159936,69.26061375441114,69.30947687681027
SMC,6,1000,0.2809823102256266,0.21059225159138442,0.5837138086557387,0.7437493801116943,0.05352298024808981,0.05663124320562928,53.52298024808981,0.05357199999999924,0.05699999999997374,53.571999999999235,0.015052784323407054,0.015039010640268856,66.43289231514476,66.49373578620747
SMC,7,1000,0.2877786510651856,0.21374015885405243,0.6113160729408263,0.7520629167556763,0.053374928480479866,0.0557919847778976,53.374928480479866,0.05346700000000415,0.056000000000056005,53.46700000000415,0.015386661136503471,0.015360164918813252,64.99135784745333,65.10346765712079
SMC,8,1000,0.21771448597965468,0.17143238453567028,0.4540183380246162,0.6138930916786194,0.05334421538282186,0.0561080203624442,53.34421538282186,0.05336200000000635,0.05699999999997374,53.36200000000635,0.011617680400847714,0.011613808432059048,86.0757023344378,86.10439941815942
SMC,9,1000,0.27320371842993657,0.19918393115885555,0.618192446231842,0.7377504110336304,0.05322406499180943,0.05571014480665326,53.22406499180943,0.05325599999999664,0.05599999999983396,53.25599999999664,0.014549737228703783,0.014541012465718947,68.72976358825201,68.77100218141909
NMPC,0,1000,0.016788838723853363,0.014656993607641151,0.028538770042359794,0.0598307438194751,34.57404795242469,42.019231227459336,34574.04795242469,34.43898400000005,41.7182999999997,34438.98400000005,0.5781905481893672,0.5804581151040308,1.7295336340788523,1.7227771892219617
NMPC,1,1000,0.016797370075756688,0.014677176102937615,0.028596295136958293,0.059816051274538,33.323344625241546,43.92393749149045,33323.344625241545,33.12017600000024,42.876749999998424,33120.17600000024,0.5563318532461989,0.5597445518321598,1.7974883051635375,1.7865292243163298
