controller,n_repetitions,mean_steps,rmse_error_m_mean,rmse_error_m_std,rmse_error_m_min,rmse_error_m_max,mean_error_m_mean,mean_error_m_std,mean_error_m_min,mean_error_m_max,p95_error_m_mean,p95_error_m_std,p95_error_m_min,p95_error_m_max,max_error_m_mean,max_error_m_std,max_error_m_min,max_error_m_max,mean_wall_time_ms_mean,mean_wall_time_ms_std,mean_wall_time_ms_min,mean_wall_time_ms_max,p95_wall_time_ms_mean,p95_wall_time_ms_std,p95_wall_time_ms_min,p95_wall_time_ms_max,total_wall_time_ms_mean,total_wall_time_ms_std,total_wall_time_ms_min,total_wall_time_ms_max,mean_cpu_time_ms_mean,mean_cpu_time_ms_std,mean_cpu_time_ms_min,mean_cpu_time_ms_max,p95_cpu_time_ms_mean,p95_cpu_time_ms_std,p95_cpu_time_ms_min,p95_cpu_time_ms_max,total_cpu_time_ms_mean,total_cpu_time_ms_std,total_cpu_time_ms_min,total_cpu_time_ms_max,rmse_x_cpu_ms_mean,rmse_x_cpu_ms_std,rmse_x_cpu_ms_min,rmse_x_cpu_ms_max,rmse_x_wall_ms_mean,rmse_x_wall_ms_std,rmse_x_wall_ms_min,rmse_x_wall_ms_max,performance_per_cpu_cost_mean,performance_per_cpu_cost_std,performance_per_cpu_cost_min,performance_per_cpu_cost_max,performance_per_wall_cost_mean,performance_per_wall_cost_std,performance_per_wall_cost_min,performance_per_wall_cost_max,performance_cost_score_mean,performance_cost_score_std,performance_cost_score_min,performance_cost_score_max,rank_rmse,rank_cpu,rank_tradeoff
NMPC,10,1000.0,0.01678383030239251,2.771650961772953e-05,0.016727548727632886,0.016822730720914284,0.014659709501372662,2.347291309179491e-05,0.014617392597021486,0.014685959615104318,0.02859406564384694,5.489809696726076e-05,0.0284860896877944,0.02866085572168227,0.05983317345380777,7.819239654017811e-06,0.059816051274538,0.0598449446260929,35.07914661322134,1.8542268089340022,31.875131157459645,38.5141173555166,45.17345714644757,3.876486439227746,40.90089234232431,53.35923123348036,35079.14661322134,1854.2268089340023,31875.131157459644,38514.1173555166,34.63813220000004,1.737594915972357,31.769621999999845,38.149905000000004,44.18907999999766,3.2471302202304497,40.37359999999805,50.26800000001111,34638.13220000004,1737.594915972358,31769.621999999843,38149.905000000006,0.5813553769340333,0.029100678190115404,0.5338163944012019,0.6410855174023937,0.5887514873016891,0.03094398036521177,0.5355892363321351,0.6472058803857538,1.7243594007300627,0.08488687412794993,1.5598542984591,1.8733032752239287,1.703187103881795,0.08916363876702592,1.5451033902905371,1.8671024960252744,0.6362287932130412,0.018623525896947216,0.5999357362853897,0.6679136932016052,1,4,3
PID,10,1000.0,0.732860757586891,0.0009814200279092743,0.7314778543457571,0.7340690253521319,0.7194893209647388,0.0009342136066099572,0.718071361258626,0.7206241771336644,0.8958175426721573,0.0018161726940703095,0.8927568018436431,0.8978876739740371,0.9967360913753509,0.0033790681351066813,0.992958128452301,1.0040117502212524,0.0299225831578951,0.0006117248165554255,0.02957837749272585,0.031710789829957994,0.032269725343212485,0.0016793691627952781,0.031211020541377366,0.037258397787809365,29.922583157895097,0.611724816555426,29.57837749272585,31.710789829957996,0.02988890000000045,0.00040574017548220166,0.02962499999999957,0.031033000000001476,0.032305000000006905,0.0016115908289695865,0.03100000000011427,0.03700000000006476,29.888900000000444,0.4057401754822017,29.624999999999567,31.033000000001476,0.021904535239045175,0.0003085784752219531,0.021676614735681634,0.022763346745536647,0.02192926486966747,0.00045816582475087866,0.0216515985733921,0.02326051959121376,45.661455491193536,0.6253766829329218,43.93027137787093,46.13266472619044,45.62013940403571,0.9083333563174446,42.9913010360152,46.18596620523492,0.4010074480518053,0.0008225513355957994,0.39999888915247617,0.402167137165586,4,1,4
PPO,10,1000.0,0.05635424803266738,6.190885900898906e-06,0.056343645976814495,0.05636428103429813,0.03030757363305306,1.3648472993446827e-05,0.030281108623370485,0.030330291089019693,0.1631825552880763,2.2372555719582268e-05,0.1631409168243407,0.16321787014603603,0.19884022772312163,3.065799234296599e-05,0.1987870931625366,0.1988836377859115,0.3145105651404677,0.007527546318686995,0.3057484972523034,0.32930778630538604,0.339017122168972,0.0238727341030353,0.31679404492015,0.40206075063898,314.51056514046775,7.52754631868699,305.7484972523034,329.30778630538606,0.31301689999995164,0.005648948848239003,0.3057949999999469,0.3252189999999542,0.3358449999998935,0.020504370875548614,0.3169999999999,0.39109999999998996,313.0168999999516,5.6489488482390025,305.7949999999469,325.2189999999542,0.017639816879583253,0.0003174830894371605,0.01723064975511405,0.01832402420093105,0.01772398547832533,0.0004233075995684678,0.017228029461919928,0.018554401328999152,56.7081124660438,1.0104284024801724,54.5731652083929,58.036116699731565,56.45237715047252,1.3258910601126492,53.89556807942244,58.044943689605105,0.9638877755836492,6.612469287247145e-05,0.9637557248683292,0.9639772119168688,2,3,1
SMC,10,1000.0,0.26533002825604296,0.018251593444728494,0.21771448597965468,0.2877786510651856,0.19951099436264486,0.011243389138519324,0.17143238453567028,0.21374015885405243,0.5672200645506381,0.04476135984740107,0.4540183380246162,0.618192446231842,0.7179819941520691,0.0462119165279486,0.6138930916786194,0.7798224091529846,0.05350224568974225,0.00024374601978437393,0.05322406499180943,0.05409618222620333,0.056201844417955726,0.0005775504740021393,0.05571014480665326,0.057669071247801185,53.50224568974225,0.24374601978437363,53.22406499180943,54.09618222620333,0.053542399999999865,0.00023637901768052737,0.05325599999999664,0.054099999999998344,0.056599999999984996,0.0006633249580695675,0.05599999999983396,0.058000000000002494,53.54239999999987,0.23637901768052805,53.25599999999664,54.099999999998346,0.014207163155046424,0.0009880484642149972,0.011617680400847714,0.015386661136503471,0.01419632629735262,0.0009849800917178086,0.011613808432059048,0.015360164918813252,70.77379555191598,5.584012318236541,64.99135784745333,86.0757023344378,70.82601403945488,5.574958907295062,65.10346765712079,86.10439941815942,0.7918136699751306,0.015266410518664298,0.773038211257679,0.8316421120395441,3,2,2
