controller,scenario_id,final_cum_energy_J,final_error,final_time_s
PID,1,341.84144405131656,0.2045242236644442,79.9
PID,2,343.57425139897936,0.2057263722791306,79.9
PID,3,353.6456912632176,0.1947290951321026,79.9
PID,4,338.9575057966415,0.2131766854101462,79.9
PID,5,348.6940274277819,0.2085881074077181,79.9
PID,6,338.0359809123445,0.2147962292552395,79.9
MPC,1,912.5422654794792,0.0761573740450491,79.9
MPC,2,936.9854729285354,0.0806408758236528,79.9
MPC,3,929.7590332229048,0.0788153052389384,79.9
MPC,4,937.6613778765932,0.0726485058540953,79.9
MPC,5,928.3825725451126,0.0754503643904115,79.9
MPC,6,964.5987438255823,0.0713149312382556,79.9
PPO,1,15.816287545877358,0.3648826382246887,2.1
PPO,2,115.74006584646112,0.8537489724297552,14.7
PPO,3,6.392565282637202,0.6972579998663523,1.4
PPO,4,6.6907511632199705,0.6848793967106234,1.2000000000000002
PPO,5,208.2788563456238,0.932563227720358,23.700000000000003
PPO,6,43.38429189553828,0.4867066504793401,5.7
