controller,scenario_id,time,target_x,target_y,target_z,x,y,z,error,cmd_surge,cmd_sway,cmd_heave,cmd_roll,cmd_pitch,cmd_yaw,thruster_1_power_W,thruster_2_power_W,thruster_3_power_W,thruster_4_power_W,thruster_5_power_W,thruster_6_power_W,total_power_W,total_step_energy_J,total_cum_energy_J,controller_wall_time_s,controller_cpu_time_s,controller_frequency_hz,controller_cum_wall_time_s,controller_cum_cpu_time_s,optimizer_success,optimizer_iterations,optimizer_final_cost
MPC,1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,-11.86562964488617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.30553906321447,14.30553906321447,28.61107812642894,2.861107812642894,2.861107812642894,0.06741448600041622,0.06737765500000004,14.833607127017567,0.06741448600041622,0.06737765500000004,0.0,5.0,429.73765699806455
MPC,1,0.1,0.0,0.0,-0.5,-6.691944872727618e-05,-6.989902612986043e-05,-0.003971579950302839,0.4960284294887595,0.012571657142035226,0.010207224901141917,-11.107814347630386,0.0,0.0,3.8146759598346695e-06,2.378134585591249e-05,0.000715926682146571,0.000715022400906119,2.407268608674576e-05,12.95719405484593,12.95719405484593,25.915866912806855,2.5915866912806855,5.4526945039235795,0.03610052600015479,0.03609093699999999,27.70042741193611,0.103515012000571,0.10346859200000003,0.0,5.0,392.0455924466803
MPC,1,0.2,0.0,0.0,-0.5,-0.0001664377487031743,-0.00017931409820448607,-0.01152276061475277,0.4884773006522433,0.02083310243237235,0.016940927506473233,-9.767131359542683,0.0,0.0,-0.010390974098408688,0.0010831619879267812,0.0002611230182195544,0.0033627777137290654,0.0006906384656865143,10.683623810175263,10.683623810175263,21.372645321536087,2.1372645321536083,7.589959036077188,0.03619119500035595,0.03618250599999984,27.631030143938734,0.13970620700092695,0.13965109799999986,0.0,5.0,354.4139553329664
MPC,1,0.30000000000000004,0.0,0.0,-0.5,-0.00022504002845380455,-0.00025491268024779856,-0.022009629756212234,0.4779904911912812,0.012698397646801918,0.012082525298564847,-8.814709357940032,0.0,0.0,-0.11940658253094816,0.03436896708525622,0.03011238012889696,0.038589660070818224,0.03415822416220519,9.159674485179426,9.159674485179426,18.45657820180603,1.845657820180603,9.435616856257791,0.036121032000664854,0.0361119379999999,27.684701809782005,0.1758272390015918,0.17576303599999976,0.0,5.0,320.63365502746495
MPC,1,0.4,0.0,0.0,-0.5,-0.000177395369973965,-0.0002273054124088958,-0.03493339195847511,0.4650666974231945,-0.0035595189670565323,0.0008967283816094141,-8.916079746340436,0.0,0.0,0.021860371887335334,0.0030167069783945443,0.002491407399948532,0.002881234096222554,0.0023644371054915908,9.318134195144633,9.318134195144633,18.647022175869324,1.8647022175869326,11.300319073844722,0.036234912999134394,0.03622535999999954,27.597692866652906,0.2120621520007262,0.2119883959999993,0.0,5.0,284.3127110338173
MPC,1,0.5,0.0,0.0,-0.5,4.670568523579277e-05,-2.229116034868639e-05,-0.050203558057546616,0.44979644491970777,-0.03915126939260742,-0.025604288995179313,-8.211620588596604,0.0,0.0,-0.010801381986826689,0.0003310265526433679,0.0058006046049316135,0.0015162473906170928,0.0017100605794951411,8.235905536619262,8.235905536619262,16.48116901236621,1.6481169012366212,12.948435975081345,0.03621708500031673,0.03620846000000011,27.611277936676977,0.24827923700104293,0.2481968559999994,0.0,5.0,249.9962634489441
MPC,1,0.6000000000000001,0.0,0.0,-0.5,0.0005133442464284599,0.0004328670329414308,-0.06740943342447281,0.4325910877333457,-0.0913914458907297,-0.06584178443565447,-7.48367131715855,0.0,0.0,-0.021581101234137673,0.0010140992913331914,0.02024599170256881,0.00687351812364067,0.0046950534132137855,7.165394431826886,7.165394431826886,14.36361752618453,1.4363617526184531,14.384797727699798,0.03711189000023296,0.03710206700000018,26.945542250575834,0.2853911270012759,0.2852989229999996,0.0,5.0,217.94640716631744
MPC,1,0.7000000000000001,0.0,0.0,-0.5,0.0012852656655013561,0.0012035720283165574,-0.08614411950111389,0.41385962634324036,-0.16126591136122412,-0.12026512617762368,-6.744977526739934,0.0,0.0,-0.020476588572555132,0.00022431770745147048,0.039998976972091156,0.0229581648227526,0.005856096891293663,6.131105720455539,6.131105720455539,12.331248997304666,1.2331248997304667,15.617922627430264,0.03657987900078297,0.03657123700000042,27.337433236960564,0.32197100600205886,0.32187016,0.0,5.0,188.70357175234045
MPC,1,0.8,0.0,0.0,-0.5,0.002416621893644333,0.0023454108741134405,-0.10601593554019928,0.39399845692820884,-0.252109285542485,-0.1916795968207201,-6.198449076223255,-7.144177623412916e-05,-7.14417762341313e-05,-0.020026446789273566,0.00020963305020472404,0.07229528187329022,0.051352327975751066,0.0076765842091545,5.401229123565228,5.401229123565228,10.933992074238857,1.0933992074238859,16.71132183485415,0.036318664000646095,0.03631012100000053,27.534052463554563,0.35828967000270495,0.35818028100000054,0.0,5.0,162.2171684145503
MPC,1,0.9,0.0,0.0,-0.5,0.003950397949665785,0.003908264450728893,-0.12673036754131317,0.3733109946021155,-0.354067447694325,-0.26640916046063323,-5.51262930449562,0.04319896242510716,0.04319896242510715,0.35320288991104637,0.20073192186245264,0.028886982900593085,0.3857851672833868,0.14916432750215142,4.5300837226478965,4.5300837226478965,9.824735844844376,0.9824735844844377,17.693795419338592,0.036385319001055905,0.03637729500000031,27.48361227700051,0.39467498900376086,0.39455757600000085,0.0,5.0,138.319506940453
MPC,1,1.0,0.0,0.0,-0.5,0.005928408354520798,0.005942631512880325,-0.14795905351638794,0.35214100712071755,-0.5123330456642058,-0.38385264068955854,-5.319029367575421,-0.05171233839826667,-0.05171247908347463,0.1620711427983209,0.08171348257338766,0.07104580558612811,0.30986169115846357,0.030709686528502513,4.293551006552681,4.293551006552681,9.080432678951844,0.9080432678951844,18.601838687233773,0.036357382999995025,0.03634818499999959,27.50472991964622,0.4310323720037559,0.43090576100000044,0.0,5.0,117.179601189373
