controller,scenario_id,time,target_x,target_y,target_z,x,y,z,error,cmd_surge,cmd_sway,cmd_heave,cmd_roll,cmd_pitch,cmd_yaw,thruster_1_power_W,thruster_2_power_W,thruster_3_power_W,thruster_4_power_W,thruster_5_power_W,thruster_6_power_W,total_power_W,total_step_energy_J,total_cum_energy_J
SMC,1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3698122724855,33.3698122724855,66.739624544971,6.6739624544971,6.6739624544971
SMC,1,0.1,0.0,0.0,-0.5,-3.671841852792568e-07,-3.3267653520852036e-07,-0.007091783452779055,0.49290821654746997,0.00019001781332406154,0.00017216010952836314,-20.0,0.0,0.0,0.0,1.6740741711711805e-08,1.5290413622078947e-06,1.5290413622078947e-06,1.6740741711711805e-08,33.3698122724855,33.3698122724855,66.7396276365352,6.67396276365352,13.347925218150621
SMC,1,0.2,0.0,0.0,-0.5,2.7225441954215057e-06,2.9595153137051966e-06,-0.021063080057501793,0.47893691995938037,-0.0014866968001570058,-0.0015878506297895,-20.0,0.0,0.0,0.0,2.256886753956655e-07,3.7818828255484464e-05,3.7818828255484464e-05,2.256886753956655e-07,33.3698122724855,33.3698122724855,66.73970063400486,6.6739700634004855,20.021895281551107
SMC,1,0.30000000000000004,0.0,0.0,-0.5,1.624141077627428e-05,1.7459839000366628e-05,-0.04157159477472305,0.4584284058454713,-0.006382031642715447,-0.006847719487268478,-20.0,0.0,0.0,0.0,2.229351898304084e-06,0.0003375699544301088,0.0003375699544301088,2.229351898304084e-06,33.3698122724855,33.3698122724855,66.74030414358364,6.6740304143583655,26.695925695909473
SMC,1,0.4,0.0,0.0,-0.5,4.926906694890931e-05,5.360593422665261e-05,-0.06816761940717697,0.43183238673066415,-0.015156755807765876,-0.016570119782954862,-20.0,0.0,0.0,0.0,1.1787380407451728e-05,0.0012536526748717395,0.0012536526748717395,1.1787380407451728e-05,33.3698122724855,33.3698122724855,66.74215542508155,6.674215542508156,33.370141238417624
SMC,1,0.5,0.0,0.0,-0.5,0.00011277218436589465,0.00012437421537470073,-0.10032334178686142,0.3996766934747797,-0.02814662975652027,-0.031298546491598245,-20.0,0.0,0.0,0.0,3.925530693078184e-05,0.003215223754034834,0.003215223754034834,3.925530693078184e-05,33.3698122724855,33.3698122724855,66.74613350309292,6.6746133503092935,40.04475458872692
SMC,1,0.6000000000000001,0.0,0.0,-0.5,0.00021905553876422346,0.0002445091085974127,-0.13746482133865356,0.3625353272952136,-0.04522104911302449,-0.05096366028737975,-20.0,0.0,0.0,0.0,9.653846537300797e-05,0.006617521013203817,0.006617521013203817,9.653846537300797e-05,33.3698122724855,33.3698122724855,66.75305266392814,6.675305266392815,46.720059855119736
SMC,1,0.7000000000000001,0.0,0.0,-0.5,0.00038122767000459135,0.000429492472903803,-0.1790027916431427,0.3209977220654631,-0.06580688102985732,-0.07482216358766891,-20.0,0.0,0.0,0.0,0.00018989139618466478,0.011699001932760408,0.011699001932760408,0.00018989139618466478,33.3698122724855,33.3698122724855,66.76340233162888,6.676340233162889,53.396400088282626
SMC,1,0.8,0.0,0.0,-0.5,0.0006123701459728181,0.0006946930079720914,-0.22435906529426575,0.27564249034033533,-0.08882445101335179,-0.10158623852476012,-20.0,0.0,0.0,0.0,0.0003198184668277047,0.018432033957763445,0.018432033957763445,0.0003198184668277047,33.3698122724855,33.3698122724855,66.77712824982018,6.677712824982018,60.07411291326464
SMC,1,0.9,0.0,0.0,-0.5,0.0009248992428183556,0.0010548736900091171,-0.2729870080947876,0.22701732685164644,-0.11281599290668964,-0.12960293097421527,9.031006097793579,0.0,0.0,0.0,0.00048249576468379854,0.026478053281682404,0.026478053281682404,0.00048249576468379854,10.12541828757391,10.12541828757391,20.30475767324055,2.0304757673240554,62.104588680588705
SMC,1,1.0,0.0,0.0,-0.5,0.001330192550085485,0.0015235565369948745,-0.3132495880126953,0.1867613638153506,-0.13608500841655768,-0.15687366845668294,7.863678932189941,0.0,0.0,0.0,0.0006649301398883133,0.035175948880598204,0.035175948880598204,0.0006649301398883133,8.22711238399623,8.22711238399623,16.525906526033435,1.6525906526033436,63.75717933319204
SMC,1,1.1,0.0,0.0,-0.5,0.001837921212427318,0.002112245187163353,-0.3468157947063446,0.1532097917417896,-0.15668335952796042,-0.18110509030520916,7.616381645202637,0.0,0.0,0.0,0.0008466441895408581,0.04355153498026248,0.04355153498026248,0.0008466441895408581,7.8420898990489345,7.8420898990489345,15.772976156437476,1.5772976156437477,65.33447694883579
SMC,1,1.2000000000000002,0.0,0.0,-0.5,0.0024557344149798155,0.0028299293480813503,-0.37461504340171814,0.12544092822035827,-0.17258033476537094,-0.19988037354778498,6.805673241615295,0.0,0.0,0.0,0.0010006476256739431,0.05042628458589141,0.05042628458589141,0.0010006476256739431,6.623925060284791,6.623925060284791,13.350703984992712,1.3350703984992713,66.66954734733505
SMC,1,1.3,0.0,0.0,-0.5,0.0031900745816528797,0.0036834636703133583,-0.3975750505924225,0.10254079549911752,-0.18192771705798805,-0.21090808091685176,5.939998626708984,0.0,0.0,0.0,0.0010944401679281208,0.0546201462384181,0.0546201462384181,0.0010944401679281208,5.401175472912759,5.401175472912759,10.913780118638211,1.0913780118638212,67.76092535919888
SMC,1,1.4000000000000001,0.0,0.0,-0.5,0.004046983551234007,0.004678336903452873,-0.41647249460220337,0.0837562479461987,-0.18299452785868198,-0.21207797108218074,5.041503012180328,0.0,0.0,0.0,0.0011002845279905922,0.055087298172048174,0.055087298172048174,0.0011002845279905922,4.223269699186429,4.223269699186429,8.558914563772936,0.8558914563772937,68.61681681557617
SMC,1,1.5,0.0,0.0,-0.5,0.00503253098577261,0.005819699726998806,-0.4319740831851959,0.06845962774898674,-0.17404272686690092,-0.2014317875728011,4.172055423259735,0.0,0.0,0.0,0.0010055460888370273,0.05103956563530724,0.05103956563530724,0.0010055460888370273,3.179317303219144,3.179317303219144,6.462724829886577,0.6462724829886578,69.26308929856484
SMC,1,1.6,0.0,0.0,-0.5,0.006154581438750029,0.00711395125836134,-0.4446464776992798,0.05614712464845263,-0.15339283214416355,-0.17710079555399716,3.3635835349559784,0.0,0.0,0.0,0.0008097997636089046,0.042148382098697576,0.042148382098697576,0.0008097997636089046,2.301505922577262,2.301505922577262,4.688928208879137,0.4688928208879137,69.73198211945277
SMC,1,1.7000000000000002,0.0,0.0,-0.5,0.007424816023558378,0.008570128120481968,-0.4549691677093506,0.0464365249106106,-0.11919785407371819,-0.13708479469642043,2.633020281791687,0.0,0.0,0.0,0.0005306893487760611,0.028781609672021376,0.028781609672021376,0.0005306893487760611,1.5940064581357518,1.5940064581357518,3.2466375143130985,0.3246637514313099,70.05664587088407
SMC,1,1.8,0.0,0.0,-0.5,0.008860317058861256,0.010201689787209034,-0.4633456766605377,0.039065574517365566,-0.1382274110801518,-0.1580907846800983,1.9867581129074097,0.0,0.0,0.0,0.0006210345899333551,0.03578275329511679,0.03578275329511679,0.0006210345899333551,1.0447833974703973,1.0447833974703973,2.1623743707108947,0.2162374370710895,70.27288330795517
SMC,1,1.9000000000000001,0.0,0.0,-0.5,0.010445806197822094,0.011995825916528702,-0.47011426091194153,0.03385516367382716,-0.15761801274493337,-0.1796755101531744,1.4245708286762238,0.0,0.0,0.0,0.0007267258834429353,0.04345585262218756,0.04345585262218756,0.0007267258834429353,0.6343586122636752,0.6343586122636752,1.3570823815386115,0.13570823815386113,70.40859154610902
