time,error
0.0,0.0
0.1,0.0005798701683929913
0.2,0.0012471729061975813
0.3,0.0018828023673046264
0.4,0.0024647756106212803
0.5,0.0029994666364649785
0.6,0.0035033244687769608
0.7,0.0039984713796852546
0.8,0.004512200814532336
0.9,0.005077013013605384
1.0,0.005729719487096355
1.1,0.006509004984727855
1.2,0.007452163177084062
1.3,0.00859296395505472
1.4,0.009961631781139712
1.5,0.011586905979078152
1.6,0.013500626211742453
1.7,0.01574376598687609
1.8,0.018373845572371483
1.9,0.02143707092636097
2.0,0.02488784938192642
2.1,0.028542990805516835
2.2,0.03220662211911846
2.3,0.03570415941487827
2.4,0.03888931063512134
2.5,0.041657506808581345
2.6,0.043983265634081295
2.7,0.04605837553440441
2.8,0.04793449560445876
2.9,0.04958404057612832
3.0,0.050946766314050526
3.1,0.05196220668744365
3.2,0.05259472250791227
3.3,0.052881152986248646
3.4,0.05286320452262997
3.5,0.05250638443585502
3.6,0.05182517127896067
3.7,0.05079949548161881
3.8,0.04939760297618918
3.9,0.047606127763990584
4.0,0.045622966369913046
4.1,0.043571580698079926
4.2,0.041548038914189796
4.3,0.039639158910613655
4.4,0.03794573453941304
4.5,0.03650289821472782
4.6,0.035229532865067796
4.7,0.0340073366643245
4.8,0.03269477063781492
4.9,0.03116020705763667
5.0,0.02962445961188006
5.1,0.028289274461230376
5.2,0.027346985981479596
5.3,0.026989567697126054
5.4,0.027027025178051275
5.5,0.027215065523758998
5.6,0.027307306868731358
5.7,0.027109212273949482
5.8,0.02687393177106216
5.9,0.026781937967655704
6.0,0.02696780528101007
6.1,0.0275473282437041
6.2,0.028277733573126348
6.3,0.02892436785492372
6.4,0.02928554517953357
6.5,0.029218110527513556
6.6,0.02897610903559054
6.7,0.028738532783122626
6.8,0.02864340116636634
6.9,0.028818824029653908
7.0,0.029071012176536504
7.1,0.02920189740203854
7.2,0.02903035429251939
7.3,0.028419094631880946
7.4,0.02762214321711476
7.5,0.02684159335490059
7.6,0.026258671977236636
7.7,0.026059505126450944
7.8,0.02608046733217682
7.9,0.026132027135412534
8.0,0.02602776792366468
8.1,0.025621970528192133
8.2,0.025194606972646496
8.3,0.024951615465681795
8.4,0.025048156408234785
8.5,0.025611152266070678
8.6,0.026392967098104653
8.7,0.0271467959215917
8.8,0.027660541303406942
8.9,0.027786862464216244
9.0,0.027787548362060762
9.1,0.0278524981212112
9.2,0.028132688727543136
9.3,0.02876915822996109
9.4,0.02957882831707099
9.5,0.030381916584002605
9.6,0.031026921420752855
9.7,0.03142129861471638
9.8,0.03183974475122742
9.9,0.03248388973177797
10.0,0.03350644133392658
10.1,0.035032353427527856
10.2,0.036901137113997076
10.3,0.0389508014399846
10.4,0.04100339423835318
10.5,0.04291122562637948
10.6,0.04476980645572556
10.7,0.04654827297019709
10.8,0.048175757107111895
10.9,0.049584419893071704
11.0,0.050551590975663314
11.1,0.050895522685602795
11.2,0.0506248635905813
11.3,0.04975312540226092
11.4,0.04850058513555884
11.5,0.0470402275893355
11.6,0.04551790430813966
11.7,0.04405006481474552
11.8,0.04255084300471281
11.9,0.040917569099184446
12.0,0.039037965094427474
12.1,0.03682448431348155
12.2,0.03449630253059105
12.3,0.032261198892051854
12.4,0.030328529346444456
12.5,0.0289231292561105
12.6,0.027947170417704247
12.7,0.027230603078402145
12.8,0.026563579199350602
12.9,0.02574991319295566
13.0,0.025015551938603546
13.1,0.02452173384123973
13.2,0.024387683303222888
13.3,0.02471907273447591
13.4,0.025247280691559043
13.5,0.025711216250205636
13.6,0.0258870807227226
13.7,0.02561420674915511
13.8,0.02517163675401567
13.9,0.024770772208666938
14.0,0.024588873044784975
14.1,0.024796820863799918
14.2,0.02519068676114495
14.3,0.025559553492854485
14.4,0.025719089264207712
14.5,0.02554985905803937
14.6,0.025386382621975123
14.7,0.025501557888947122
14.8,0.026123804790959635
14.9,0.027440514190164567
15.0,0.029259798224250663
15.1,0.03138725548468638
15.2,0.0336599638866182
15.3,0.035971599617719945
15.4,0.03844059924636272
15.5,0.041037358129609604
15.6,0.04365142878682438
15.7,0.046158111399352025
15.8,0.04826569341736012
15.9,0.04974087874704709
16.0,0.05041086417185905
16.1,0.05025477985124081
