time,x,y,z,error,cmd_surge,cmd_sway,cmd_heave,cmd_roll,cmd_pitch,cmd_yaw,thruster_1_force_N,thruster_2_force_N,thruster_3_force_N,thruster_4_force_N,thruster_5_force_N,thruster_6_force_N,thruster_1_power_W,thruster_2_power_W,thruster_3_power_W,thruster_4_power_W,thruster_5_power_W,thruster_6_power_W,thruster_1_step_energy_J,thruster_2_step_energy_J,thruster_3_step_energy_J,thruster_4_step_energy_J,thruster_5_step_energy_J,thruster_6_step_energy_J,thruster_1_cum_energy_J,thruster_2_cum_energy_J,thruster_3_cum_energy_J,thruster_4_cum_energy_J,thruster_5_cum_energy_J,thruster_6_cum_energy_J,total_power_W,total_step_energy_J,total_cum_energy_J
0.0,0.0,0.0,0.0,0.0,2.6799306869506836,-0.029092684388160706,-0.5659092664718628,0.3691943883895874,1.213793158531189,-0.03547179698944092,0.9893345216453532,0.9056626402073981,0.9687628872315647,0.9262342746211865,-0.28295463323593134,-0.28295463323593134,0.9741543701167918,0.8532233204918769,0.9439288873791863,0.8824585380718752,0.14900068066538633,0.14900068066538633,0.09741543701167919,0.0853223320491877,0.09439288873791864,0.08824585380718752,0.014900068066538633,0.014900068066538633,0.09741543701167919,0.0853223320491877,0.09439288873791864,0.08824585380718752,0.014900068066538633,0.014900068066538633,3.951766477390503,0.39517664773905037,0.39517664773905037
0.1,0.001576062641106546,-1.2354446880635805e-05,0.00036279697087593377,0.020339268369694734,1.8749288320541382,-0.1548684686422348,-2.0143280029296875,0.40900641679763794,0.8499022126197815,-0.5267215967178345,1.1861302874840471,0.13964460390360778,1.0766217431151466,0.24915314827250767,-1.0071640014648435,-1.0071640014648435,1.2788265120496902,0.05165939023119298,1.1058793727185507,0.12311546414204837,1.0006065230681283,1.0006065230681283,0.12788265120496903,0.005165939023119299,0.11058793727185508,0.012311546414204837,0.10006065230681283,0.10006065230681283,0.2252980882166482,0.09048827107230699,0.20498082600977371,0.10055740022139237,0.11496072037335146,0.11496072037335146,4.5606937852777385,0.4560693785277739,0.8512460262668242
0.2,0.004184686578810215,-8.204499317798764e-05,0.0004109445435460657,0.039991541817240704,1.3473349809646606,-0.20305663347244263,-2.537966251373291,0.24222290515899658,0.3365017771720886,-0.5771674513816833,1.0615034683236244,-0.10879376675366459,0.9179207458303487,0.03478895573961044,-1.2689831256866453,-1.2689831256866453,1.082667659486882,0.03552377070484119,0.8706043162670903,0.0064235502658122,1.4151315334971912,1.4151315334971912,0.10826676594868821,0.003552377070484119,0.08706043162670904,0.00064235502658122,0.14151315334971912,0.14151315334971912,0.33356485416533643,0.0940406481427911,0.29204125763648275,0.10119975524797359,0.25647387372307057,0.25647387372307057,4.825482363719008,0.4825482363719008,1.333794262638725
0.30000000000000004,0.007388028781861067,-0.0002493035572115332,-0.00016779315774329007,0.05923923627570542,1.4604754447937012,-0.1798257976770401,-2.155313014984131,0.07164131850004196,0.14412716031074524,-0.3875170350074768,0.9246081832020809,0.10810390756798449,0.7974521422323657,0.23525994853769933,-1.0776565074920652,-1.0776565074920652,0.8801356998165067,0.035186423578425864,0.7049689374787227,0.11296269223983198,1.1074740825162686,1.1074740825162686,0.08801356998165068,0.0035186423578425865,0.07049689374787227,0.011296269223983198,0.11074740825162686,0.11074740825162686,0.4215784241469871,0.0975592905006337,0.362538151384355,0.11249602447195678,0.36722128197469744,0.36722128197469744,3.948201918146024,0.3948201918146025,1.7286144544533275
0.4,0.011170152574777603,-0.0005515986704267561,-0.0012496242998167872,0.07814409608363436,1.8082332611083984,0.012157052755355835,-1.839859962463379,-0.015769248828291893,-0.01197759062051773,-0.02546444535255432,0.6576579929603942,0.6209560079364195,0.6662543274029489,0.6123596734938648,-0.9199299812316892,-0.9199299812316892,0.5279747971217701,0.4844001711309607,0.5383603937668495,0.4743762220893969,0.8734643767417918,0.8734643767417918,0.05279747971217701,0.04844001711309607,0.053836039376684956,0.04743762220893969,0.08734643767417918,0.08734643767417918,0.4743759038591641,0.14599930761372976,0.41637419076104,0.15993364668089646,0.45456771964887666,0.45456771964887666,3.7720403375925606,0.37720403375925604,2.1058184882125834
0.5,0.015704503282904625,-0.0009656177135184407,-0.0027382245752960443,0.09659755913965826,2.483255624771118,0.3142598867416382,-1.6019963026046753,-0.04891753941774368,-0.12612301111221313,0.44788289070129395,0.3684897229069366,1.3874371687883578,0.5907050198768654,1.1652218718184295,-0.8009981513023374,-0.8009981513023374,0.2214374684671249,1.617830524169879,0.44943721446256113,1.245162348152254,0.7096763105647657,0.7096763105647657,0.02214374684671249,0.1617830524169879,0.044943721446256114,0.1245162348152254,0.07096763105647656,0.07096763105647656,0.4965196507058766,0.3077823600307177,0.4613179122072961,0.2844498814961219,0.5255353507053532,0.5255353507053532,4.953220176381351,0.49532201763813505,2.6011405058507187
0.6000000000000001,0.021401068195700645,-0.0014148964546620846,-0.00458288099616766,0.11430611993116209,3.4146437644958496,0.6292304396629333,-1.2158787250518799,-0.0820743516087532,-0.17383450269699097,0.8349555134773254,0.2421474125330625,2.172370348678313,0.6870805233477154,1.7274372378636609,-0.6079393625259397,-0.6079393625259397,0.11795946304823098,3.169668452516056,0.563799250919194,2.2475867016531845,0.4692490839502611,0.4692490839502611,0.011795946304823099,0.3169668452516056,0.05637992509191941,0.22475867016531847,0.04692490839502611,0.04692490839502611,0.5083155970106997,0.6247492052823234,0.5176978372992155,0.5092085516614404,0.5724602591003793,0.5724602591003793,7.037512036037188,0.7037512036037188,3.304891709454438
0.7000000000000001,0.028864286839962006,-0.0017708534142002463,-0.00666655832901597,0.13084668544278863,3.8095591068267822,0.9332976341247559,-0.44337865710258484,-0.33703911304473877,-0.0800698772072792,0.8045922517776489,0.3012734583944918,2.3924916193736934,0.961214544349468,1.7325505334187177,-0.22168932855129228,-0.22168932855129228,0.16370213636713232,3.6634365630918118,0.9329181410508657,2.257573526605962,0.10333090185434762,0.10333090185434762,0.016370213636713232,0.3663436563091812,0.09329181410508658,0.22575735266059624,0.010333090185434763,0.010333090185434763,0.5246858106474129,0.9910928615915046,0.6109896514043021,0.7349659043220367,0.582793349285814,0.582793349285814,7.224292170824467,0.7224292170824467,4.027320926536884
0.8,0.03842442110180855,-0.0017219757428392768,-0.008576438762247562,0.14586336052730733,3.3892982006073,0.5860191583633423,-0.19373126327991486,-0.7149166464805603,0.19362077116966248,0.651373565196991,0.41174948307454207,1.984846258038243,0.8261276038584947,1.570468137254291,-0.09686563163995733,-0.09686563163995733,0.2615547622061231,2.768237497641542,0.7433335560239228,1.9483040449395521,0.02984472695672484,0.02984472695672484,0.026155476220612314,0.2768237497641542,0.07433335560239228,0.19483040449395522,0.002984472695672484,0.002984472695672484,0.5508412868680252,1.2679166113556588,0.6853230070066944,0.929796308815992,0.5857778219814865,0.5857778219814865,5.781119314724589,0.578111931472459,4.605432858009343
0.9,0.049810461699962616,-0.0010210328036919236,-0.010006711818277836,0.1593847670962252,3.113513469696045,0.5167921185493469,-0.6730775833129883,-0.9761102795600891,0.3250221908092499,0.635033905506134,0.3532534986688123,1.848332989068917,0.7186807101588175,1.4829057775789125,-0.33653879165649403,-0.33653879165649403,0.2078465143365196,2.4876161070381113,0.6031384565128065,1.787653624252794,0.1932705730909622,0.1932705730909622,0.020784651433651963,0.24876161070381114,0.06031384565128065,0.1787653624252794,0.019327057309096222,0.019327057309096222,0.5716259383016772,1.51667822205947,0.745636852657975,1.1085616712412714,0.6051048792905828,0.6051048792905828,5.472795848322156,0.5472795848322156,5.152712442841558
