time,error
0.0,0.0
0.1,0.0001465686288715419
0.2,0.00022971203132645117
0.3,0.000340036518509652
0.4,0.0004429513270338235
0.5,0.0005543813568069318
0.6,0.000663140061893459
0.7,0.0007842158678269347
0.8,0.0009055732882414698
0.9,0.0010436125198687687
1.0,0.0011795811702272167
1.1,0.001334627931438106
1.2,0.001481915402856494
1.3,0.0016451348971829466
1.4,0.0017959415810469015
1.5,0.0019563287941485093
1.6,0.0021015530489720434
1.7,0.002251618202045224
1.8,0.00238679254462426
1.9,0.00252520262240549
2.0,0.0026519958695221343
2.1,0.002783312152038838
2.2,0.002907715216215282
2.3,0.003038562499291571
2.4,0.003166184591091904
2.5,0.0033010990317328764
2.6,0.0034346840089955004
2.7,0.0035741829903773803
2.8,0.003710276468297548
2.9,0.0038471100815494798
3.0,0.003974944831730876
3.1,0.004095454238771991
3.2,0.004200183306934062
3.3,0.004290101628960278
3.4,0.004359553365991373
3.5,0.0044109185821988766
3.6,0.004443110589076226
3.7,0.0044643585755231585
3.8,0.004476916357134835
3.9,0.004485608239823537
4.0,0.00449301634852137
4.1,0.004501208325020015
4.2,0.004513074537456648
4.3,0.0045277848222123685
4.4,0.004548699482431732
4.5,0.004573418444501855
4.6,0.004607253384793943
4.7,0.0046463388572131155
4.8,0.004695001532766381
4.9,0.004748305697154954
5.0,0.004809934530246213
5.1,0.004874327661004274
5.2,0.004945062005873964
5.3,0.005016933277017834
5.4,0.005092931809107963
5.5,0.005168948209061369
5.6,0.005247798344864938
5.7,0.005326089446510698
5.8,0.0054060928303772075
5.9,0.005484936788989464
6.0,0.005564577209155825
6.1,0.005642683255169107
6.2,0.005721163949999015
6.3,0.005798278751816566
6.4,0.005876117611355791
6.5,0.005952974510990942
6.6,0.006030942195127532
6.7,0.006108629394196166
6.8,0.006187922642967675
6.9,0.006267582916604697
7.0,0.0063493150727473675
7.1,0.00643176861607563
7.2,0.006516241873601857
7.3,0.006601329174433968
7.4,0.006687591716413378
7.5,0.006773256946513319
7.6,0.006858544516364115
7.7,0.0069416382726301806
7.8,0.007022414556068596
7.9,0.007099273802929488
8.0,0.007172762799555514
8.1,0.007241727077178913
8.2,0.007307346315762842
8.3,0.00736897949928409
8.4,0.007428668495146085
8.5,0.007485910453934372
8.6,0.007543016309877389
8.7,0.007599277361665305
8.8,0.007657015370206261
8.9,0.007715386392516752
9.0,0.0077766221116417865
9.1,0.007839844326457325
9.2,0.007906947706752763
9.3,0.007977561343310102
9.4,0.008053382039136331
9.5,0.008132127994174298
9.6,0.008215947683493234
9.7,0.008303587858799349
9.8,0.008396394760031345
9.9,0.008493772671196387
10.0,0.008596812254127322
10.1,0.008705168838750837
10.2,0.008817764502066866
10.3,0.008930444791894396
10.4,0.009039086671354463
10.5,0.009139371725348358
10.6,0.00922707637836599
10.7,0.009301119809628085
10.8,0.009364884571438026
10.9,0.009419723689683966
11.0,0.009468113902866882
11.1,0.009510780480162568
11.2,0.00955097952761519
11.3,0.009587807044022218
11.4,0.009624735357671239
11.5,0.009659699803947572
11.6,0.009694522745257683
11.7,0.009727157498821968
11.8,0.00975989512075221
11.9,0.009790840695255282
12.0,0.009826327550974128
12.1,0.009865213970444587
12.2,0.009910545454446895
12.3,0.009960482364813323
12.4,0.010016964126034507
12.5,0.010076465260125204
12.6,0.010139290902091026
12.7,0.010203961716976809
12.8,0.010271145110577784
12.9,0.010340927038246706
13.0,0.010413794471095595
13.1,0.010489608074573052
13.2,0.010567025222146217
13.3,0.010645381353853567
13.4,0.01072348341200553
13.5,0.010800611196488666
13.6,0.010876047327296912
13.7,0.01095002161157984
13.8,0.011022285176081122
13.9,0.01109381934373279
14.0,0.011165189451201927
14.1,0.01123772855006708
14.2,0.011312029788632431
14.3,0.011389541264035304
14.4,0.011470821813567985
14.5,0.011556991963608996
14.6,0.011648177874116596
14.7,0.011744669690982722
14.8,0.011845757196744426
14.9,0.01195040404110979
15.0,0.012056834669856032
15.1,0.012162588851922498
15.2,0.012264784684617041
15.3,0.012360546716582469
15.4,0.01244720343189315
15.5,0.012522846463341031
15.6,0.012586988764126747
15.7,0.012640546371348696
15.8,0.012686309183304531
15.9,0.012725592879370518
16.0,0.012760338528617292
16.1,0.012792462198787036
16.2,0.012826561632540694
16.3,0.012862555083664273
16.4,0.012904470510451876
16.5,0.012951951032455392
16.6,0.013008316105831315
16.7,0.013071518140895664
16.8,0.013140579701634573
16.9,0.013215019900643403
17.0,0.013294903491212848
17.1,0.013379598367101585
17.2,0.013469130375352006
17.3,0.013563748590272179
17.4,0.013663082270093429
17.5,0.013767563233881982
17.6,0.013873480751002247
17.7,0.013974851130611924
17.8,0.014067118527036687
17.9,0.014145778405429032
18.0,0.014210840727341871
18.1,0.014265984672667865
18.2,0.014312816154880005
18.3,0.01435226618217781
18.4,0.014386683410545617
18.5,0.014417407678410007
18.6,0.014444782574378137
