controller,scenario_id,time,target_x,target_y,target_z,x,y,z,error,cmd_surge,cmd_sway,cmd_heave,cmd_roll,cmd_pitch,cmd_yaw,thruster_1_power_W,thruster_2_power_W,thruster_3_power_W,thruster_4_power_W,thruster_5_power_W,thruster_6_power_W,total_power_W,total_step_energy_J,total_cum_energy_J,controller_wall_time_s,controller_cpu_time_s,controller_frequency_hz,controller_cum_wall_time_s,controller_cum_cpu_time_s
PID,1,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.5,0.0,0.0,-3.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.011034790032235,2.011034790032235,4.02206958006447,0.40220695800644707,0.40220695800644707,0.00011314899893477559,0.00011048300000005007,8837.904085889855,0.00011314899893477559,0.00011048300000005007
PID,1,0.1,0.0,0.0,-0.5,-6.691944872727618e-05,-6.989902612986043e-05,-0.0006506632198579609,0.49934934615643006,0.0035202976732034586,0.0036770384882765937,-3.159642155482434,0.0,0.0,0.0,4.0838398141559274e-07,0.0001270729841269437,0.0001270729841269437,4.0838398141559274e-07,1.965734652442469,1.965734652442469,3.9317242676211546,0.3931724267621155,0.7953793847685626,9.080800009542145e-05,8.939099999993871e-05,11012.245605554528,0.00020395699903019704,0.00019987399999998878
PID,1,0.2,0.0,0.0,-0.5,-0.00017176209075842053,-0.00018201251805294305,-0.00191991135943681,0.4980801515127498,0.005689906726656773,0.00608016691996454,-3.10974760560412,0.0,0.0,0.0,1.6044527450061982e-06,0.00026574452027819053,0.00026574452027819053,1.6044527450061982e-06,1.9193569848378453,1.9193569848378453,3.839248667621737,0.38392486676217374,1.1793042515307364,7.981800081324764e-05,7.889900000002115e-05,12528.50221517985,0.0002837749998434447,0.00027877300000000993
PID,1,0.30000000000000004,0.0,0.0,-0.5,-0.000244457129156217,-0.00026472320314496756,-0.0037746294401586056,0.4962255013851205,0.0042727560029379675,0.004826398194818466,-3.0586084741102533,0.0,0.0,0.0,2.7110611694362815e-06,0.00018063299582404414,0.00018063299582404414,2.7110611694362815e-06,1.8722070466274838,1.8722070466274838,3.744780781368955,0.3744780781368955,1.5537823296676319,7.913600347819738e-05,7.825200000000088e-05,12636.473362917654,0.00036291100332164206,0.0003570250000000108
PID,1,0.4,0.0,0.0,-0.5,-0.00021542931790463626,-0.0002469824394211173,-0.006180973723530769,0.49381913503099145,-0.0008877806218151818,-0.00024106575601763326,-3.0064976343186576,0.0,0.0,0.0,3.4226683088067054e-06,7.893103784605974e-06,7.893103784605974e-06,3.4226683088067054e-06,1.8245650182547188,1.8245650182547188,3.649152668053625,0.36491526680536246,1.9186975964729944,7.819399979780428e-05,7.728900000003591e-05,12788.705048799415,0.00044110500311944634,0.0004343140000000467
PID,1,0.5,0.0,0.0,-0.5,-8.713654096936807e-06,-5.0849190301960334e-05,-0.009104658849537373,0.4908953438613948,-0.010309591098102828,-0.00967038233689891,-2.953668318306096,0.0,0.0,0.0,3.3632536794792824e-06,0.0005877435980339953,0.0005877435980339953,3.3632536794792824e-06,1.7766858003346584,1.7766858003346584,3.5545538143727438,0.3554553814372744,2.2741529779102683,8.040300235734321e-05,7.958100000005075e-05,12437.346500514977,0.0005215080054767895,0.0005138950000000975
PID,1,0.6000000000000001,0.0,0.0,-0.5,0.000455269415397197,0.0004052951408084482,-0.012511229142546654,0.48748915192699666,-0.024381594949209103,-0.023858938246175968,-2.900353976209648,0.0,0.0,0.0,2.4866824795072884e-06,0.002205025908211481,0.002205025908211481,2.4866824795072884e-06,1.72879919567449,1.72879919567449,3.462013416530362,0.3462013416530362,2.620354319563305,7.768100113025866e-05,7.677699999986132e-05,12873.160559853744,0.0005991890066070482,0.0005906719999999588
PID,1,0.7000000000000001,0.0,0.0,-0.5,0.0012581817572936416,0.0012000103015452623,-0.016366302967071533,0.48363682236963373,-0.0434219175958242,-0.042859743389326466,-2.8467683903770524,0.0,0.0,0.0,2.773971028384708e-06,0.0052744027977062406,0.0052744027977062406,2.773971028384708e-06,1.6811104458365418,1.6811104458365418,3.372775245210553,0.3372775245210553,2.9576318440843603,7.73960018705111e-05,7.661100000011523e-05,12920.564057986738,0.0006765850084775593,0.000667283000000074
PID,1,0.8,0.0,0.0,-0.5,0.0024780600797384977,0.002406544052064419,-0.02063579112291336,0.4793766546134558,-0.06745429463886467,-0.06659968198558999,-2.7931063598291948,0.0,0.0,0.0,5.199355652181359e-06,0.010214452659547199,0.010214452659547199,5.199355652181359e-06,1.6338013662099409,1.6338013662099409,3.2880420364502805,0.32880420364502805,3.2864360477293886,7.841099795768969e-05,7.758999999984972e-05,12753.313005142425,0.000754996006435249,0.0007448729999999237
PID,1,0.9,0.0,0.0,-0.5,0.004188201390206814,0.0040976437740027905,-0.025286100804805756,0.47475005824590333,-0.09643474895709005,-0.09524533970330594,-2.739544105713256,0.0,0.0,0.0,8.536749094874737e-06,0.01746469678469252,0.01746469678469252,8.536749094874737e-06,1.5870312905963437,1.5870312905963437,3.2090090482602625,0.32090090482602623,3.6073369525554146,0.00020196400146232918,0.0001955080000000109,4951.377437362383,0.0009569600078975782,0.0009403809999999346
PID,1,1.0,0.0,0.0,-0.5,0.0064604561775922775,0.006345977541059256,-0.030284298583865166,0.469802989647603,-0.13048058985934405,-0.12898444431650205,-2.6862404038952667,0.0,0.0,0.0,1.2043599702357936e-05,0.02750513669918055,0.02750513669918055,1.2043599702357936e-05,1.5409386912369558,1.5409386912369558,3.1369117430716775,0.31369117430716775,3.9210281268625824,4.3490003008628264e-05,4.278899999987651e-05,22993.790085542267,0.0010004500109062064,0.0009831699999998111
PID,1,1.1,0.0,0.0,-0.5,0.00935889407992363,0.009218311868607998,-0.0355982631444931,0.46458749376895375,-0.1693725066186562,-0.16769862850478603,-2.633337293257006,0.0,0.0,0.0,1.4252179846998552e-05,0.040726575411805147,0.040726575411805147,1.4252179846998552e-05,1.4956424356180071,1.4956424356180071,3.0727665264193185,0.3072766526419319,4.228304779504515,4.084399915882386e-05,4.0266000000066526e-05,24483.400758859378,0.0010412940100650303,0.0010234359999998777
PID,1,1.2000000000000002,0.0,0.0,-0.5,0.012935411185026169,0.012769946828484535,-0.041196808218955994,0.4591631139290279,-0.21264004168302564,-0.21096174676253213,-2.580961365480907,0.0,0.0,0.0,1.4308627173437126e-05,0.057376258580880135,0.057376258580880135,1.4308627173437126e-05,1.4512435407634723,1.4512435407634723,3.0172682159430515,0.3017268215943052,4.53003160109882,3.943399860872887e-05,3.888900000004192e-05,25358.828302505597,0.0010807280086737592,0.0010623249999999196
