time,error
0.0,0.0
0.1,0.0005798701683929913
0.2,0.001572862053646199
0.3,0.002889363621552078
0.4,0.004442039457714551
0.5,0.0061537467428977016
0.6,0.00795740117009049
0.7,0.009796270781620176
0.8,0.011623908458467174
0.9,0.013403836334450537
1.0,0.015108933308574397
1.1,0.016720467930223054
1.2,0.018226821687180716
1.3,0.019622148357466996
1.4,0.02090496186965688
1.5,0.022076714716618786
1.6,0.0231408728255762
1.7,0.02410217091126111
1.8,0.024966181549904366
1.9,0.02573946080648208
2.0,0.026429548571594047
2.1,0.027045558802235508
2.2,0.027598243149649704
2.3,0.028099630700700845
2.4,0.028562978289411997
2.5,0.029001828033096037
2.6,0.02942969226834322
2.7,0.02985788314771303
2.8,0.030294175909968114
2.9,0.03074114280409388
3.0,0.031194923007922842
3.1,0.03164403911622539
3.2,0.03207009625174121
3.3,0.032447756440763934
3.4,0.03274747693499484
3.5,0.0329373147083901
3.6,0.03298643256468813
3.7,0.0328745889822642
3.8,0.03258834764833516
3.9,0.03212194231892919
4.0,0.03147583871191321
4.1,0.03065597937583043
4.2,0.029673076824328924
4.3,0.028541927119821505
4.4,0.027282366986581597
4.5,0.025920512878339907
4.6,0.024488168185155715
4.7,0.023022032673706963
4.8,0.021561361047488313
4.9,0.020145903514167708
5.0,0.018813519711997507
5.1,0.01759711145277041
5.2,0.016522296169531377
5.3,0.015605225749958193
5.4,0.014851189106942192
5.5,0.014254206192652975
5.6,0.01379852809353415
5.7,0.013461713889895203
5.8,0.013218433265665592
5.9,0.01304387400519185
6.0,0.0129160862061574
6.1,0.012817157953322287
6.2,0.012733331158066293
6.3,0.012654399614236174
6.4,0.012572971240779765
6.5,0.01248371051489953
6.6,0.012382768545368787
6.7,0.012267382792862071
6.8,0.012135689889347897
6.9,0.011986764803057178
7.0,0.011820908199726626
7.1,0.011639818654189187
7.2,0.011447068634409502
7.3,0.011248125388921767
7.4,0.011050221056926412
7.5,0.010861684806814223
7.6,0.010690768946851273
7.7,0.010544179621394294
7.8,0.01042554809344755
7.9,0.010334360028336967
8.0,0.010265711032327714
8.1,0.010211013239619548
8.2,0.010159409432139098
8.3,0.010099861038588114
8.4,0.010023006224068272
8.5,0.009922588474487558
8.6,0.009796325417592993
8.7,0.009646013064707571
8.8,0.009477250000531671
8.9,0.009298257145960833
9.0,0.009118380608030836
9.1,0.008946121138934142
9.2,0.008787645332681678
9.3,0.008645690149708533
9.4,0.008518884506376619
9.5,0.008404458498343722
9.6,0.008300902003523894
9.7,0.008210808211804473
9.8,0.008143360095717317
9.9,0.008116193525835608
10.0,0.008156071265032391
10.1,0.008297589160939008
10.2,0.008573778035837188
10.3,0.009002370356818381
10.4,0.009574944539913739
10.5,0.010254124783775654
10.6,0.010979603744404905
10.7,0.011688319868164333
10.8,0.012327129301267373
10.9,0.012854645943915702
11.0,0.013240740477895967
11.1,0.013466009750287182
11.2,0.013520049826165875
11.3,0.013399850852817594
11.4,0.013108684032635385
11.5,0.012652820558450847
11.6,0.012041518746005635
11.7,0.011287778641805427
11.8,0.010410801135824143
11.9,0.009447412709525954
12.0,0.008457557473196105
12.1,0.00752096073089512
12.2,0.006731483068196384
12.3,0.006178724498536576
12.4,0.005914916322005527
12.5,0.005926904870638595
12.6,0.006143432556919099
12.7,0.006468826477541522
12.8,0.006814917174965861
12.9,0.00711445365881426
13.0,0.007321260920610699
13.1,0.007411518589089508
13.2,0.007380032669110203
13.3,0.007236009430459236
13.4,0.006998902349078812
13.5,0.0066939177512051855
13.6,0.006348006922830886
13.7,0.005987618251224194
13.8,0.00563644678471179
13.9,0.005314787028990128
14.0,0.005039551070267504
14.1,0.00482582562154035
14.2,0.0046889352593480205
14.3,0.004646427381146896
14.4,0.004719226579254191
14.5,0.004930296842820695
14.6,0.005300442676424351
14.7,0.00584335895893203
14.8,0.006560566485316204
14.9,0.007441172861951924
15.0,0.008461217838461568
15.1,0.009585819066548045
15.2,0.010771284284700542
15.3,0.011968011958370592
15.4,0.013123237976049319
15.5,0.014185101990606906
15.6,0.015106289290397961
15.7,0.01585108136502891
15.8,0.016395148222789296
15.9,0.016723625346611103
16.0,0.016829390644761476
16.1,0.016719955012756468
