controller,duration_s,n_steps,mean_error_m,rmse_error_m,max_error_m,p95_error_m,final_error_m,mean_control_effort,total_control_effort,mean_normalized_effort
PID,99.9,1000,0.7206241771336644,0.7340690253521319,0.995883584022522,0.897401961684227,0.7193610668182373,48.396227554931976,48396.227554931975,0.005041273703638747
MPC,99.9,1000,0.014656996900506737,0.01678883535165222,0.0598302595317363,0.028538770135492053,0.0172269754111766,257.37576030879455,257375.76030879456,0.0268099750321661
PPO,99.9,1000,0.03030389515846032,0.05635177417673776,0.1988263428211212,0.16318048834800708,0.0096245622262358,30.026029689600204,30026.029689600204,0.0031277114260000217
