num_timesteps,env_idx,episode_reward,episode_length,episode_time_sec,tracking_dist,velocity_error,action_cost,target_x,target_y,target_z,target_yaw
77,0,-96.210294,77.0,1.988645,3.018304230764775,0.5617333736492356,2.408883571624756,0.8188459892153284,-0.4700284723194356,-0.5,-2.6055275523245234
149,0,-80.622769,72.0,2.135914,3.0345714628206677,0.7055149392013952,9.328401565551758,0.9604024883847351,0.26758381829420186,-0.5,-1.2522087003853182
216,0,-87.34812,67.0,2.268813,3.0504286414069317,0.7509131128926708,3.5908281803131104,0.9433251863002445,0.3130611817578971,-0.5,-1.1683969941479548
360,0,-324.02543,144.0,2.568258,3.0382217025362483,0.6463696547022537,5.911837577819824,0.9034350115924096,0.38732523245593414,-0.5,-0.9750265952588754
428,0,-97.932353,68.0,2.711627,3.0146043665408735,0.7925642175057653,6.9608473777771,0.9518467867624765,-0.2918115964229209,-0.5,-1.9317945220186872
542,0,-212.910948,114.0,2.953238,3.029318025404436,0.33967483220829536,10.833538055419922,-0.9999601664239516,-0.00892520132997837,-0.5,-1.5618695847042148
656,0,-241.146774,114.0,3.183971,3.0127816723209753,0.3181605192629039,3.390535354614258,0.9891506318455765,-0.14531100017101103,-0.5,-1.723138323059075
747,0,-126.434607,91.0,3.364983,3.011175697624317,0.22161361006230548,2.103508949279785,-0.14364396302533855,-0.14215429348135114,-0.5,0.7695417597442558
837,0,-128.750707,90.0,3.541873,3.0017758339690688,0.18317305034397785,7.171137809753418,-0.8371193090934635,-0.45792129670890763,-0.5,-0.6332113756832171
923,0,-111.040143,86.0,3.711376,3.00898453370886,0.17058130683082942,4.6623053550720215,0.3876508721189957,0.3573390048969293,-0.5,0.6491004136278276
990,0,-75.784477,67.0,3.843554,3.0767353872655203,0.7913959467294014,4.192756175994873,0.015464055025596958,-0.015462205901195247,-0.5,2.356373892992163
1058,0,-88.407801,68.0,3.977159,3.0115709221584064,0.8026576538436412,1.3835161924362183,0.7239524590949549,-0.49941850655603737,-0.5,-3.071815079293669
1129,0,-99.114551,71.0,4.115067,3.031335376289073,0.7367610524893056,4.783158779144287,0.856360636812323,-0.4422059760315777,-0.5,-2.406677322638628
1237,0,-208.149992,108.0,4.325809,3.0060995052087724,0.2554721217025052,8.575241088867188,0.9922468902795474,0.12331880009005686,-0.5,-1.4432484072744278
1310,0,-89.91609,73.0,4.46825,3.0534241520732874,0.70148745213886,4.095503330230713,0.8984890967462134,-0.39443297114254394,-0.5,-2.1910680192952694
1429,0,-235.225003,119.0,4.69857,3.032442798316659,0.2536858870622385,2.8750298023223877,-0.7063856357961261,-0.49999896095805285,-0.5,0.0028801683067169554
1548,0,-241.799902,119.0,4.929376,3.0276969325222076,0.1695438970613497,13.407715797424316,-0.4253275362735758,-0.38493821849238014,-0.5,0.6141772121595879
1617,0,-101.881492,69.0,5.064818,3.009674930414857,0.7666495627494784,11.213278770446777,0.8736678009472963,-0.42505942929251495,-0.5,-2.3166658218303207
1687,0,-113.353906,70.0,5.201705,3.0436152146771795,0.7155089561005041,6.135486125946045,0.7632870039498848,-0.4931288626965689,-0.5,-2.8912322988292107
1761,0,-106.343645,74.0,5.34602,3.052233360297279,0.672327255014657,5.664761543273926,0.7750766742645684,-0.48974552217238426,-0.5,-2.832909033040588
1839,0,-114.48183,78.0,5.498466,3.0373602001910402,0.5477970286348367,8.621373176574707,0.8940312515343022,-0.40053011289072676,-0.5,-2.213298900466552
1920,0,-136.684354,81.0,5.659249,3.0104513225992715,0.41282966160189777,2.2376112937927246,-0.565999747098859,0.4666132557113035,-0.5,2.7305970482743698
1998,0,-102.311587,78.0,5.815335,3.016549505616906,0.4985115104734478,13.989140510559082,0.5632761723693852,-0.46541746694926406,-0.5,2.725179435291319
2077,0,-109.116721,79.0,8.322161,3.013752610926137,0.5265354286539319,12.996621131896973,0.9973150128685977,-0.07303427864583174,-0.5,-1.6446864173057325
2141,0,-89.636809,64.0,8.43802,3.0088523137939993,0.8626808633775708,2.8125953674316406,0.8087250921191015,-0.47568143341973373,-0.5,-2.659113117743451
2273,0,-338.567022,132.0,8.667892,3.0202528679640777,0.6066329965566759,6.414794921875,-0.9502112334668316,0.29609199817156295,-0.5,-1.9397876427057523
2339,0,-82.646509,66.0,8.784919,3.0297493571885394,0.7540069652433031,7.581060886383057,0.17748331196289957,-0.1746655532313641,-0.5,2.3807192136066218
2416,0,-91.354719,77.0,8.938734,3.054624831102608,0.5917740793628439,4.2361931800842285,-0.9999921346733306,0.003966149773267218,-0.5,-1.574762611749586
2486,0,-81.053539,70.0,9.073515,3.01222048111264,0.6509320647544549,4.094913482666016,0.4761241884441069,-0.418693161029792,-0.5,2.585450124911717
2554,0,-101.541764,68.0,9.191224,3.0239062156150904,0.807472190537962,10.321615219116211,0.9979546280468771,0.06379545739505835,-0.5,-1.5064323625902356
2680,0,-298.023822,126.0,9.405127,3.007520759024787,0.38056774314728214,5.907259464263916,0.7946694079967015,0.48239806168162014,-0.5,-0.40883461089002404
2809,0,-291.218421,129.0,9.6243,3.028548920954157,0.5732060914278677,3.7814769744873047,-0.992301122036561,-0.12289513472043029,-0.5,-1.4437166844344038
2956,0,-318.207643,147.0,9.877573,3.0283890866546552,0.6281562014471526,17.84606170654297,0.8302813303592115,0.4627527484040028,-0.5,-0.5968574744335288
3032,0,-99.164431,76.0,10.016101,3.024395882079634,0.5704520137246235,14.053709030151367,0.9431177911876616,0.3135477782637162,-0.5,-1.1673953422104888
3095,0,-96.659658,63.0,10.124454,3.0417929787302036,0.8553102916321511,4.256120204925537,0.999337860041705,0.03636054085107002,-0.5,-1.5343312746390756
3166,0,-118.082186,71.0,10.246706,3.0408367680648722,0.6934311624400586,2.4930105209350586,0.9713292786129873,0.2309220350205122,-0.44358658166613085,-1.3089152699611062
3287,0,-210.682873,121.0,10.456373,3.009708716467901,0.17717172248736013,4.133655548095703,-0.37406238663882824,-0.34690678253739243,-0.5,0.6602638842221303
3386,0,-179.445669,99.0,10.623962,3.006164055167523,0.1864953201566077,3.2407851219177246,-0.6337211434359917,-0.49022232666509064,-0.5,0.24911669831936684
