num_timesteps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean
2048,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4096,0.010361878201365471,0.09248046875,0.2,-8.521277582645416,-0.09301614761352539,0.0003,0.05666164308786392,-0.012837754414067603,0.5818615674041212,nan,nan,nan,nan,nan
6144,0.010774383321404457,0.098388671875,0.2,-8.51844146847725,0.4920002222061157,0.0003,0.03469887375831604,-0.01492354872461874,0.1393160806503147,nan,nan,nan,nan,nan
8192,0.010094543918967247,0.096533203125,0.2,-8.499212917685508,0.538914144039154,0.0003,0.0533713661134243,-0.014507227635476738,0.11287038581212983,nan,nan,nan,nan,nan
10240,0.009416129440069199,0.090380859375,0.2,-8.499277007579803,0.48639166355133057,0.0003,0.012391405180096626,-0.014576589861826505,0.11125102812657132,nan,nan,nan,nan,nan
12288,0.012222735211253166,0.13212890625,0.2,-8.50157401561737,0.466835618019104,0.0003,0.00375942699611187,-0.02045429944555508,0.10161331916460767,nan,nan,nan,nan,nan
14336,0.010990974493324757,0.109619140625,0.2,-8.484534788131715,0.40768224000930786,0.0003,0.009794628247618675,-0.018300001219904515,0.10605655801482498,nan,nan,nan,nan,nan
16384,0.010441303253173828,0.108935546875,0.2,-8.475575610995293,0.46095871925354004,0.0003,0.01739705540239811,-0.015290805873519275,0.0788856522354763,nan,nan,nan,nan,nan
18432,0.008601934649050236,0.096142578125,0.2,-8.469319108128548,0.523543119430542,0.0003,0.034259382635354996,-0.014552700558851939,0.09366084178909659,nan,nan,nan,nan,nan
20480,0.012781656347215176,0.142724609375,0.2,-8.468550521135331,0.6468760967254639,0.0003,-0.029066497460007668,-0.02085731909464812,0.08099021555972286,nan,nan,nan,nan,nan
22528,0.01153248269110918,0.1251953125,0.2,-8.45752777159214,0.6445604562759399,0.0003,-0.013608120381832123,-0.019913592709053775,0.0588017943140585,nan,nan,nan,nan,nan
24576,0.012601429596543312,0.12041015625,0.2,-8.456317684054374,0.5770236849784851,0.0003,0.007412519305944443,-0.018246304872445763,0.07477712524123489,nan,nan,nan,nan,nan
26624,0.010846330784261227,0.11318359375,0.2,-8.445688250660897,0.6554310321807861,0.0003,-0.018674336373806,-0.01753950651764171,0.08176468718447723,nan,nan,nan,nan,nan
28672,0.00920075736939907,0.09990234375,0.2,-8.435043835639954,0.640498161315918,0.0003,-0.006420968100428581,-0.015051313837466296,0.06344514319789596,nan,nan,nan,nan,nan
30720,0.011603429913520813,0.126953125,0.2,-8.441824689507484,0.6348391771316528,0.0003,0.01238514855504036,-0.02083015712269116,0.055101076437858866,nan,nan,nan,nan,nan
32768,0.01231221854686737,0.137255859375,0.2,-8.443954196572303,0.7139889001846313,0.0003,-0.0073176659643650055,-0.017506867490010337,0.05837903984356672,nan,nan,nan,nan,nan
34816,0.010518159717321396,0.113427734375,0.2,-8.429629716277123,0.7134802341461182,0.0003,0.004880344495177269,-0.0194044583797222,0.05551966117927805,nan,nan,nan,nan,nan
36864,0.011846525594592094,0.1509765625,0.2,-8.412888494133949,0.7744621634483337,0.0003,0.003079742193222046,-0.018405851979332512,0.05092976795276627,nan,nan,nan,nan,nan
38912,0.009896256029605865,0.11962890625,0.2,-8.399281334877013,0.7763445377349854,0.0003,-0.0036496687680482864,-0.016956616887182464,0.04412202311796136,nan,nan,nan,nan,nan
40960,0.0101165771484375,0.127392578125,0.2,-8.407993295788765,0.838506817817688,0.0003,0.0015808679163455963,-0.016498092401889153,0.03668804473709315,nan,nan,nan,nan,nan
43008,0.01300371065735817,0.130224609375,0.2,-8.433698955178262,0.7599571347236633,0.0003,-0.010444007813930511,-0.018443327711429446,0.03849427937529981,nan,nan,nan,nan,nan
45056,0.010270277038216591,0.1265625,0.2,-8.437679865956307,0.8140000104904175,0.0003,-0.025663867592811584,-0.017527687136316673,0.04500267106341198,nan,nan,nan,nan,nan
47104,0.01071624830365181,0.121484375,0.2,-8.419123154878616,0.816300630569458,0.0003,-0.00037215836346149445,-0.015781315082858783,0.04733916578115895,nan,nan,nan,nan,nan
49152,0.011841635219752789,0.1462890625,0.2,-8.4160993039608,0.8349099159240723,0.0003,-0.019355935975909233,-0.018938192384666763,0.04865193612640724,nan,nan,nan,nan,nan
51200,0.01092665083706379,0.1333984375,0.2,-8.416493743658066,0.8314678072929382,0.0003,-0.0005046119913458824,-0.018279800318123308,0.04081133758008946,nan,nan,nan,nan,nan
53248,0.011108546517789364,0.1451171875,0.2,-8.392556914687157,0.833236813545227,0.0003,-0.019063271582126617,-0.02111707411968382,0.044330852455459535,nan,nan,nan,nan,nan
55296,0.011370944790542126,0.147705078125,0.2,-8.371840000152588,0.8840436935424805,0.0003,-0.028382305055856705,-0.02160975707229227,0.030501158523838966,nan,nan,nan,nan,nan
57344,0.011690317653119564,0.126904296875,0.2,-8.360812184214591,0.7745940685272217,0.0003,-0.001933063380420208,-0.018182250681275037,0.03011850956827402,nan,nan,nan,nan,nan
59392,0.011660020798444748,0.1232421875,0.2,-8.377251291275025,0.8074261546134949,0.0003,-0.007520539220422506,-0.019719650885963346,0.02548505406011827,nan,nan,nan,nan,nan
61440,0.009994697757065296,0.10869140625,0.2,-8.391560366749763,0.8501818776130676,0.0003,-0.025486916303634644,-0.01770138886204222,0.02472870338242501,nan,nan,nan,nan,nan
63488,0.010974356904625893,0.125,0.2,-8.37853467464447,0.8765358924865723,0.0003,-0.013472609221935272,-0.018772627685393672,0.025469623997923917,nan,nan,nan,nan,nan
65536,0.012564556673169136,0.144140625,0.2,-8.364715307950974,0.8778931498527527,0.0003,-0.005026037804782391,-0.021077365038217978,0.025238931420608422,nan,nan,nan,nan,nan
67584,0.010723384097218513,0.11943359375,0.2,-8.346881717443466,0.8429611921310425,0.0003,-0.04071797803044319,-0.017628488456102785,0.018076965503860266,nan,nan,nan,nan,nan
69632,0.013336388394236565,0.14931640625,0.2,-8.338174897432328,0.7507480382919312,0.0003,-0.016668759286403656,-0.02354994219567743,0.01794648900104221,nan,nan,nan,nan,nan
71680,0.01635134406387806,0.166796875,0.2,-8.336351484060287,0.87954181432724,0.0003,-0.02199516072869301,-0.02205288445111364,0.02007459463493433,nan,nan,nan,nan,nan
73728,0.013424757868051529,0.177001953125,0.2,-8.33315830230713,0.8908079862594604,0.0003,-0.011433223262429237,-0.02362707644497277,0.021684860094683244,nan,nan,nan,nan,nan
75776,0.012598905712366104,0.142724609375,0.2,-8.331287878751755,0.899597704410553,0.0003,-0.018059508875012398,-0.01931202251362265,0.028659543808316812,nan,nan,nan,nan,nan
77824,0.011468449607491493,0.135205078125,0.2,-8.315525862574578,0.8359348177909851,0.0003,-0.015552440658211708,-0.02117227871931391,0.016804881078132893,nan,nan,nan,nan,nan
79872,0.010688535869121552,0.11748046875,0.2,-8.276185974478722,0.9068052768707275,0.0003,-0.026979051530361176,-0.018175935132603627,0.02436863126931712,nan,nan,nan,nan,nan
81920,0.01454114355146885,0.147607421875,0.2,-8.226052737236023,0.8797633051872253,0.0003,-0.043300338089466095,-0.021312431604019366,0.029036032970179804,nan,nan,nan,nan,nan
83968,0.012007825076580048,0.153564453125,0.2,-8.201044729351997,0.8289730548858643,0.0003,-0.004085687920451164,-0.019037965110328514,0.03574248273507692,nan,nan,nan,nan,nan
86016,0.012099921703338623,0.144677734375,0.2,-8.164119201898576,0.8659923076629639,0.0003,0.00502391904592514,-0.02025164524966385,0.03717727810435463,nan,nan,nan,nan,nan
88064,0.012958223931491375,0.176953125,0.2,-8.118979868292808,0.8220742344856262,0.0003,-0.04382368177175522,-0.024867262679617853,0.02465033175831195,nan,nan,nan,nan,nan
90112,0.013712558895349503,0.1474609375,0.2,-8.115259996056556,0.9206511974334717,0.0003,-0.0235714390873909,-0.021036095908493736,0.017125167007907293,nan,nan,nan,nan,nan
92160,0.012452167458832264,0.129248046875,0.2,-8.116170498728753,0.8577529191970825,0.0003,-0.02858917787671089,-0.01882993123726919,0.022476089469273576,nan,nan,nan,nan,nan
94208,0.013081563636660576,0.14853515625,0.2,-8.121902218461036,0.893765926361084,0.0003,-0.02259747125208378,-0.02362661404768005,0.017967830997076818,nan,nan,nan,nan,nan
96256,0.010368800722062588,0.139501953125,0.2,-8.144028547406197,0.7930442094802856,0.0003,-0.018411988392472267,-0.019677194514952135,0.016908669038093647,nan,nan,nan,nan,nan
98304,0.010886874981224537,0.130126953125,0.2,-8.131473070383072,0.8782528042793274,0.0003,-0.020185060799121857,-0.02135918892745394,0.015048172138631345,nan,nan,nan,nan,nan
100352,0.014691513031721115,0.1734375,0.2,-8.125426656007766,0.8383656144142151,0.0003,-0.04454977437853813,-0.02254381881430163,0.01679255277995253,nan,nan,nan,nan,nan
102400,0.011011827737092972,0.131298828125,0.2,-8.12570288181305,0.8579208850860596,0.0003,-0.03558268025517464,-0.02105945902731037,0.018616946844849734,nan,nan,nan,nan,nan
104448,0.013119708746671677,0.15009765625,0.2,-8.101157093048096,0.8627926111221313,0.0003,-0.045055631548166275,-0.0238170802287641,0.015200203587301075,nan,nan,nan,nan,nan
106496,0.012149150483310223,0.1435546875,0.2,-8.104599303007125,0.7533919811248779,0.0003,-0.01594950631260872,-0.02169380030973116,0.026210603793151675,nan,nan,nan,nan,nan
