controller,wall_mean_ms,wall_std_ms,wall_p95_ms,wall_max_ms,wall_total_ms,cpu_mean_ms,cpu_std_ms,cpu_p95_ms,cpu_max_ms,cpu_total_ms,freq_mean_hz,freq_min_hz,eq_rate_mean_hz,eq_rate_p05_hz,wall_util_mean_pct,wall_util_max_pct,cpu_util_mean_pct,cpu_util_max_pct,wall_deadline_miss_rate_pct,cpu_deadline_miss_rate_pct,cpu_to_wall_ratio,n_scenarios,mean_steps_per_scenario,rank_lowest_cpu_total,rank_lowest_wall_total,rank_fastest_response,rank_best_eq_rate,rank_lowest_wall_util
MPC,37.58295465186009,0.8930430855105623,43.783826966197545,111.8351539989817,180398.18232892847,37.568200985416574,0.8936099626996726,43.7117474249978,111.8138269999917,180327.36472999956,28.242314378755832,8.941732221418548,28.242314378755875,23.113111293148012,37.582954651860085,111.83515399897216,37.568200985416574,111.81382699998217,0.5208333333333334,0.5,0.9996068704919732,6,800.0,3,3,3,3,3
PID,0.04684941373776971,0.009415061756785135,0.050894723972305655,0.20196400146229998,224.87718594129464,0.046187513541669147,0.009340600566202934,0.05018267500004151,0.195508,221.70006500001193,22299.089663214636,4951.377437362383,22299.08966321465,20618.784951742,0.04684941373776971,0.20196400146230004,0.04618751354166914,0.19550800000000004,0.0,0.0,0.9856810491595369,6,800.0,1,1,1,1,1
PPO,0.36110073228196155,0.15627317118997808,0.5077089337343091,1.5444429991475,1733.2835149534155,0.3576583291666216,0.1549708272748853,0.5032116166666291,1.5340369999998,1716.7599799997838,3203.460074731562,647.4826203051384,3203.460074732115,2411.3775978831577,0.36110073228196155,1.5444429991475879,0.35765832916662155,1.5340369999998873,0.0,0.0,0.9903204432384424,6,800.0,2,2,2,2,2
