controller,n_scenarios,final_energy_mean_J,final_energy_std_J,final_energy_min_J,final_energy_max_J,total_step_energy_mean_J,mean_power_W,max_power_W,rmse_mean,late_error_mean,rank_lowest_final_energy,rank_lowest_mean_power
MPC,6,111.26987027736031,15.417629847750934,89.28228724874417,141.22781723805423,111.26987027736031,2.7817467569340075,85.02235733588296,0.1386669666684849,0.07673919047393062,2,2
PID,6,62.43994972769588,1.9326881584041613,59.83018926403452,65.60985200913052,62.439949727695875,1.5609987431923973,7.2712152313951055,0.27018392379618156,0.17511307530599593,1,1
PPO,6,175.23547437056644,28.752188808198294,125.50152437245929,208.7956315847269,175.2354743705664,4.38088685926416,89.45572787974407,0.17776776177137235,0.07088112894565805,3,3
